row_label_raw,row_label_full,col_0,312/12/2019 triệu đồng,31/12/2018 triệu đồng,numeric__312/12/2019 triệu đồng,numeric__31/12/2018 triệu đồng
Chứng khoán nợ,Chứng khoán nợ,Chứng khoán nợ,82.723.727,70.304.687,82723727.0,70304687.0
Trái phiếu Chính phủ,Trái phiếu Chính phủ,Trái phiếu Chính phủ,47.873.313,43.802.956,47873313.0,43802956.0
Chứng khoán nợ do các TCTD trong nước phát hành,Chứng khoán nợ do các TCTD trong nước phát hành,Chứng khoán nợ do các TCTD trong nước phát hành,22.694.379,20.897.686,22694379.0,20897686.0
Trái phiếu do các TCKT trong nước phát hành,Trái phiếu do các TCKT trong nước phát hành,Trái phiếu do các TCKT trong nước phát hành,12.156.035,5.604.045,12156035.0,5604045.0
Chứng khoán vốn,Chứng khoán vốn,Chứng khoán vốn,-,162.717,,162717.0
Cổ phiếu do các TCKT trong nước phát hành,Cổ phiếu do các TCKT trong nước phát hành,Cổ phiếu do các TCKT trong nước phát hành,-,162.717,,162717.0
Dự phòng rủi ro chứng khoán sẵn sàng đề bán,Dự phòng rủi ro chứng khoán sẵn sàng đề bán,Dự phòng rủi ro chứng khoán sẵn sàng đề bán,(190.540),(132.988),-190540.0,-132988.0
Dự phòng giảm giá,Dự phòng giảm giá,Dự phòng giảm giá,-,(538),,-538.0
Dự phòng chung,Dự phòng chung,Dự phòng chung,(190.540),(132.450),-190540.0,-132450.0
,,,82.533.187,70.334.416,82533187.0,70334416.0
