row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm vi tính triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm vi tính triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,980.764,621.885,338,1.602.987,980764.0,621885.0,338.0,1602987.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,94.352,120.585,145,215.082,94352.0,120585.0,145.0,215082.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,-,(265),-,(265),,-265.0,,-265.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,-,1.127,4.374,5.501,,1127.0,4374.0,5501.0
Giảm do bán MBLand,Nguyên giá > Giảm do bán MBLand,Giảm do bán MBLand,-,(186),-,(186),,-186.0,,-186.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,34,-,34,,34.0,,34.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.075.116,743.180,4.857,1.823.153,1075116.0,743180.0,4857.0,1823153.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,123.266,461.801,93,585.160,123266.0,461801.0,93.0,585160.0
Tăng trong năm,Giá trị hao mòn lũy kế > Tăng trong năm,Tăng trong năm,18.604,102.620,1.149,122.373,18604.0,102620.0,1149.0,122373.0
Thanh lý trong năm,Giá trị hao mòn lũy kế > Thanh lý trong năm,Thanh lý trong năm,-,(265),-,(265),,-265.0,,-265.0
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,-,1.715,1.130,2.845,,1715.0,1130.0,2845.0
Giảm do bán MBLand,Giá trị hao mòn lũy kế > Giảm do bán MBLand,Giảm do bán MBLand,-,(148),-,(148),,-148.0,,-148.0
Chênh lệch tỷ giá,Giá trị hao mòn lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,26,-,26,,26.0,,26.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,141.870,565.749,2.372,709.991,141870.0,565749.0,2372.0,709991.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,857.498,160.084,245,1.017.827,857498.0,160084.0,245.0,1017827.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,933.246,177.431,2.485,1.113.162,933246.0,177431.0,2485.0,1113162.0
