row_label_raw,row_label_full,col_0,31/12/2019%/năm,31/12/2018%/năm,numeric__31/12/2019%/năm,numeric__31/12/2018%/năm
Cho vay bằng VND,Cho vay bằng VND,Cho vay bằng VND,"6,00 - 11,00","6,00 - 10,80",,
Cho vay bằng ngoại tệ,Cho vay bằng ngoại tệ,Cho vay bằng ngoại tệ,"3,10 - 5,50","3,20 - 5,90",,
Cho vay tiêu dùng cá nhân,Cho vay tiêu dùng cá nhân,Cho vay tiêu dùng cá nhân,"8,00 - 70,00","8,00 - 70,00",,
