row_label_raw,row_label_full,col_0,Quá hạn triệu đồng,Không ảnh hưởng thay đổi lãi suất triệu đồng,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộng triệu đồng,numeric__Quá hạn triệu đồng,numeric__Không ảnh hưởng thay đổi lãi suất triệu đồng,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộng triệu đồng
,,,Quá hạn triệu đồng,Không ảnh hưởng thay đổi lãi suất triệu đồng,Đến 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 6 tháng triệu đồng,Từ 6 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,2.344.291,-,-,-,-,-,-,2.344.291,,2344291.0,,,,,,,2344291.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,14.347.180,-,-,-,-,-,14.347.180,,,14347180.0,,,,,,14347180.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),196.000,,16.178.854,14.801.786,5.937.231,2.584.493,189.000,-,39.887.364,196000.0,,16178854.0,14801786.0,5937231.0,2584493.0,189000.0,,39887364.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,3.986,(4.000),1.866.250,(1.855.875),10.572,(6.097),-,14.836,,3986.0,-4000.0,1866250.0,-1855875.0,10572.0,-6097.0,,14836.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),4.532.528,-,82.318.565,125.525.164,14.282.609,14.336.605,9.335.152,-,250.330.623,4532528.0,,82318565.0,125525164.0,14282609.0,14336605.0,9335152.0,,250330623.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,618.901,-,-,-,577.986,-,-,1.196.887,,618901.0,,,,577986.0,,,1196887.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),80.000,-,3.952.986,9.509.770,7.626.106,5.865.146,26.207.906,32.678.690,85.920.604,80000.0,,3952986.0,9509770.0,7626106.0,5865146.0,26207906.0,32678690.0,85920604.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,1.037.453,-,-,-,-,-,-,1.037.453,,1037453.0,,,,,,,1037453.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,2.828.875,-,-,-,-,-,-,2.828.875,,2828875.0,,,,,,,2828875.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),252.969,17.468.648,-,-,-,-,-,-,17.721.617,252969.0,17468648.0,,,,,,,17721617.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,5.061.497,24.302.154,116.793.585,151.702.970,25.990.071,23.374.802,35.725.961,32.678.690,415.629.730,5061497.0,24302154.0,116793585.0,151702970.0,25990071.0,23374802.0,35725961.0,32678690.0,415629730.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,16.836,-,-,-,-,-,16.836,,,16836.0,,,,,,16836.0
Tiền gửi và vay từ TCTD khác,Nợ phải trả > Tiền gửi và vay từ TCTD khác,Tiền gửi và vay từ TCTD khác,-,-,21.265.183,16.148.775,9.354.399,2.763.707,737.618,44.370,50.314.052,,,21265183.0,16148775.0,9354399.0,2763707.0,737618.0,44370.0,50314052.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,157.838.905,18.429.568,27.320.106,21.930.624,47.169.057,21.252,272.709.512,,,157838905.0,18429568.0,27320106.0,21930624.0,47169057.0,21252.0,272709512.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",-,-,-,-,302.126,-,-,-,302.126,,,,,302126.0,,,,302126.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,1.540.204,70.488,8.234.535,14.946.173,573.642,923.587,26.288.629,,,1540204.0,70488.0,8234535.0,14946173.0,573642.0,923587.0,26288629.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),-,21.970.606,-,-,-,-,-,-,21.970.606,,21970606.0,,,,,,,21970606.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,21.970.606,180.661.128,34.648.831,45.211.166,39.640.504,48.480.317,989.209,371.601.761,,21970606.0,180661128.0,34648831.0,45211166.0,39640504.0,48480317.0,989209.0,371601761.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,5.061.497,2.331.548,(63.867.543),117.054.139,(19.221.095),(16.265.702),(12.754.356),31.689.481,44.027.969,5061497.0,2331548.0,-63867543.0,117054139.0,-19221095.0,-16265702.0,-12754356.0,31689481.0,44027969.0
