row_label_raw,row_label_full,col_0,Tài chính ngân hàng triệu đồng,Chứng khoán – Quản lý quỹ triệu đồng,Bảo hiểm triệu đồng,Khai thác nợ - Quản lý tài sản triệu đồng,Loại trừ triệu đồng,Tổng cộng triệu đồng,numeric__Tài chính ngân hàng triệu đồng,numeric__Chứng khoán – Quản lý quỹ triệu đồng,numeric__Bảo hiểm triệu đồng,numeric__Khai thác nợ - Quản lý tài sản triệu đồng,numeric__Loại trừ triệu đồng,numeric__Tổng cộng triệu đồng
I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,,,,,,
1. Doanh thu lãi,I. Doanh thu > 1. Doanh thu lãi,1. Doanh thu lãi,65.985.497,375.345,306.625,5.073,(35.475.936),31.196.604,65985497.0,375345.0,306625.0,5073.0,-35475936.0,31196604.0
2. Doanh thu từ hoạt động dịch vụ,I. Doanh thu > 2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2.449.209,463.708,4.303.629,557.699,(1.353.665),6.420.580,2449209.0,463708.0,4303629.0,557699.0,-1353665.0,6420580.0
3. Doanh thu từ hoạt động kinh doanh khác,I. Doanh thu > 3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,9.595.392,243.891,27.213,14.938,(4.896.305),4.985.129,9595392.0,243891.0,27213.0,14938.0,-4896305.0,4985129.0
II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,,,,,,
1. Chi phí lãi,II. Chi phí > 1. Chi phí lãi,1. Chi phí lãi,(48.745.758),(165.688),(5.947),-,35.720.786,(13.196.607),-48745758.0,-165688.0,-5947.0,,35720786.0,-13196607.0
2. Chi phí khấu hao TSCĐ,II. Chi phí > 2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(347.190),(12.397),(30.592),(3.400),-,(393.579),-347190.0,-12397.0,-30592.0,-3400.0,,-393579.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,II. Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(13.703.150),(541.742),(4.246.207),(384.093),4.789.807,(14.085.385),-13703150.0,-541742.0,-4246207.0,-384093.0,4789807.0,-14085385.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,II. Chi phí > Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,15.234.000,363.117,354.721,190.217,(1.215.313),14.926.742,15234000.0,363117.0,354721.0,190217.0,-1215313.0,14926742.0
Chi phí dự phòng rủi ro,II. Chi phí > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(6.111.406),8.238,(2.616),(152),1.215.313,(4.890.623),-6111406.0,8238.0,-2616.0,-152.0,1215313.0,-4890623.0
Kết quả kinh doanh bộ phận,II. Chi phí > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,9.122.594,371.355,352.105,190.065,-,10.036.119,9122594.0,371355.0,352105.0,190065.0,,10036119.0
