row_label_raw,row_label_full,Số dư tiền gửi bình quân tháng trước của:,31/12/2019 > Số dư tiền gửi bình quân tháng trước của:,31/12/2018 > Số dư tiền gửi bình quân tháng trước của:,numeric__31/12/2019 > Số dư tiền gửi bình quân tháng trước của:,numeric__31/12/2018 > Số dư tiền gửi bình quân tháng trước của:
Khách hàng,Khách hàng,Khách hàng,Khách hàng,Khách hàng,,
• Tiền gửi bằng ngoại tệ có thời hạn dưới 12 tháng,Khách hàng > • Tiền gửi bằng ngoại tệ có thời hạn dưới 12 tháng,• Tiền gửi bằng ngoại tệ có thời hạn dưới 12 tháng,"8,00%","8,00%",0.08,0.08
• Tiền gửi bằng ngoại tệ có thời hạn từ 12 tháng trở lên,Khách hàng > • Tiền gửi bằng ngoại tệ có thời hạn từ 12 tháng trở lên,• Tiền gửi bằng ngoại tệ có thời hạn từ 12 tháng trở lên,"6,00%","6,00%",0.06,0.06
• Tiền gửi bằng VND có thời hạn dưới 12 tháng,Khách hàng > • Tiền gửi bằng VND có thời hạn dưới 12 tháng,• Tiền gửi bằng VND có thời hạn dưới 12 tháng,"3,00%","3,00%",0.03,0.03
• Tiền gửi bằng VND có thời hạn từ 12 tháng trở lên,Khách hàng > • Tiền gửi bằng VND có thời hạn từ 12 tháng trở lên,• Tiền gửi bằng VND có thời hạn từ 12 tháng trở lên,"1,00%","1,00%",0.01,0.01
Tổ chức tín dụng nước ngoài,Tổ chức tín dụng nước ngoài,Tổ chức tín dụng nước ngoài,Tổ chức tín dụng nước ngoài,Tổ chức tín dụng nước ngoài,,
• Tiền gửi bằng ngoại tệ,Tổ chức tín dụng nước ngoài > • Tiền gửi bằng ngoại tệ,• Tiền gửi bằng ngoại tệ,"1,00%","1,00%",0.01,0.01
