row_label_raw,row_label_full,col_0,Năm 2019 triệu đồng,Năm 2018 triệu đồng,numeric__Năm 2019 triệu đồng,numeric__Năm 2018 triệu đồng
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",78.490,46.476,78490.0,46476.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,6.064.062,4.968.364,6064062.0,4968364.0
Chi lương và các khoản chi đóng góp theo lương,Chi lương và các khoản chi đóng góp theo lương,Chi lương và các khoản chi đóng góp theo lương,5.889.330,4.791.618,5889330.0,4791618.0
Chi trợ cấp thất nghiệp,Chi trợ cấp thất nghiệp,Chi trợ cấp thất nghiệp,1.446,26.676,1446.0,26676.0
Chi khác cho nhân viên,Chi khác cho nhân viên,Chi khác cho nhân viên,173.286,150.070,173286.0,150070.0
Chi về tài sản,Chi về tài sản,Chi về tài sản,1.254.228,1.128.422,1254228.0,1128422.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Khấu hao tài sản cố định,Trong đó: > Khấu hao tài sản cố định,Khấu hao tài sản cố định,393.579,369.448,393579.0,369448.0
Chi khác về tài sản,Trong đó: > Chi khác về tài sản,Chi khác về tài sản,860.649,758.974,860649.0,758974.0
Chi cho hoạt động quản lý công vụ,Trong đó: > Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,2.168.947,2.181.950,2168947.0,2181950.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Công tác phí,Trong đó: > Công tác phí,Công tác phí,146.226,118.466,146226.0,118466.0
Chi về các hoạt động đoàn thể của TCTD,Trong đó: > Chi về các hoạt động đoàn thể của TCTD,Chi về các hoạt động đoàn thể của TCTD,8.719,7.233,8719.0,7233.0
Chi khác cho hoạt động quản lý,Trong đó: > Chi khác cho hoạt động quản lý,Chi khác cho hoạt động quản lý,2.014.002,2.056.251,2014002.0,2056251.0
Chi quỹ khoa học công nghệ,Trong đó: > Chi quỹ khoa học công nghệ,Chi quỹ khoa học công nghệ,-,268.000,,268000.0
"Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Trong đó: > Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng",157.979,140.590,157979.0,140590.0
,,,9.723.706,8.733.802,9723706.0,8733802.0
