row_label_raw,row_label_full,Số dư đầu năm > Hoàn nhập dự phòng trong kỳ (Thuyết minh số 35),Năm 2019 triệu đồng > 301.267 > (13.962),Năm 2018 triệu đồng > 925.717 > (17.830),numeric__Năm 2019 triệu đồng > 301.267 > (13.962),numeric__Năm 2018 triệu đồng > 925.717 > (17.830)
Phân loại lại sang dự phòng đầu tư chứng khoán,Phân loại lại sang dự phòng đầu tư chứng khoán,Phân loại lại sang dự phòng đầu tư chứng khoán,-,(49.226),,-49226.0
Phân loại lại từ dự phòng đầu tư chứng khoán,Phân loại lại từ dự phòng đầu tư chứng khoán,Phân loại lại từ dự phòng đầu tư chứng khoán,538,-,538.0,
Xử lý rủi ro trong năm,Xử lý rủi ro trong năm,Xử lý rủi ro trong năm,(13.373),(522.112),-13373.0,-522112.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,(347),152,-347.0,152.0
Giảm do bán MBLand,Giảm do bán MBLand,Giảm do bán MBLand,-,(35.434),,-35434.0
,,,274.123,301.267,274123.0,301267.0
