row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm máy vi tính triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm máy vi tính triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.075.116,743.180,4.857,1.823.153,1075116.0,743180.0,4857.0,1823153.0
Mua mới trong năm,Nguyên giá > Mua mới trong năm,Mua mới trong năm,26.908,86.556,980,114.444,26908.0,86556.0,980.0,114444.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,-,(2.077),-,(2.077),,-2077.0,,-2077.0
Hoàn thành mua sắm tài sản cố định,Nguyên giá > Hoàn thành mua sắm tài sản cố định,Hoàn thành mua sắm tài sản cố định,-,44.731,-,44.731,,44731.0,,44731.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,(83),-,(83),,-83.0,,-83.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.102.024,872.307,5.837,1.980.168,1102024.0,872307.0,5837.0,1980168.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,141.870,565.749,2.372,709.991,141870.0,565749.0,2372.0,709991.0
Tăng trong năm,Giá trị hao mòn luỹ kế > Tăng trong năm,Tăng trong năm,18.955,95.943,1.346,116.244,18955.0,95943.0,1346.0,116244.0
Thanh lý trong năm,Giá trị hao mòn luỹ kế > Thanh lý trong năm,Thanh lý trong năm,-,(2.077),-,(2.077),,-2077.0,,-2077.0
Chênh lệch tỷ giá,Giá trị hao mòn luỹ kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,(49),,(49),,-49.0,,-49.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,160.825,659.566,3.718,824.109,160825.0,659566.0,3718.0,824109.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,933.246,177.431,2.485,1.113.162,933246.0,177431.0,2485.0,1113162.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,941.199,212.741,2.119,1.156.059,941199.0,212741.0,2119.0,1156059.0
