row_label_raw,row_label_full,col_0,Năm 2019 triệu đồng,Năm 2018 triệu đồng,numeric__Năm 2019 triệu đồng,numeric__Năm 2018 triệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,31.196.604,24.824.365,31196604.0,24824365.0
Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,970.978,752.738,970978.0,752738.0
Thu nhập lãi cho vay khách hàng và các TCTD khác,Thu nhập lãi cho vay khách hàng và các TCTD khác,Thu nhập lãi cho vay khách hàng và các TCTD khác,23.254.954,18.488.420,23254954.0,18488420.0
Thu lãi từ chứng khoán nợ,Thu lãi từ chứng khoán nợ,Thu lãi từ chứng khoán nợ,5.246.239,3.877.212,5246239.0,3877212.0
Thu từ nghiệp vụ bảo lãnh,Thu từ nghiệp vụ bảo lãnh,Thu từ nghiệp vụ bảo lãnh,1.298.771,1.200.018,1298771.0,1200018.0
Thu khác từ hoạt động tín dụng,Thu khác từ hoạt động tín dụng,Thu khác từ hoạt động tín dụng,425.662,505.977,425662.0,505977.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,(13.196.607),(10.240.868),-13196607.0,-10240868.0
Trả lãi tiền gửi,Trả lãi tiền gửi,Trả lãi tiền gửi,(10.950.028),(8.707.729),-10950028.0,-8707729.0
Trả lãi tiền vay,Trả lãi tiền vay,Trả lãi tiền vay,(750.718),(671.459),-750718.0,-671459.0
Trả lãi phát hành giấy tờ có giá,Trả lãi phát hành giấy tờ có giá,Trả lãi phát hành giấy tờ có giá,(1.357.196),(617.067),-1357196.0,-617067.0
Chi phí hoạt động tín dụng khác,Chi phí hoạt động tín dụng khác,Chi phí hoạt động tín dụng khác,(138.665),(244.613),-138665.0,-244613.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,17.999.997,14.583.497,17999997.0,14583497.0
