row_label_raw,row_label_full,col_0,Miền Bắc triệu đồng,Miền Trung triệu đồng,Miền Nam triệu đồng,Nước ngoài triệu đồng,Loại trừ triệu đồng,Tổng công triệu đồng,numeric__Miền Bắc triệu đồng,numeric__Miền Trung triệu đồng,numeric__Miền Nam triệu đồng,numeric__Nước ngoài triệu đồng,numeric__Loại trừ triệu đồng,numeric__Tổng công triệu đồng
I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,,,,,,
1. Doanh thu lãi,I. Doanh thu > 1. Doanh thu lãi,1. Doanh thu lãi,51.285.124,3.940.317,11.000.407,446.692,(35.475.936),31.196.604,51285124.0,3940317.0,11000407.0,446692.0,-35475936.0,31196604.0
2. Doanh thu từ hoạt động dịch vụ,I. Doanh thu > 2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,7.113.517,108.481,528.702,23.545,(1.353.665),6.420.580,7113517.0,108481.0,528702.0,23545.0,-1353665.0,6420580.0
3. Doanh thu từ hoạt động kinh doanh khác,I. Doanh thu > 3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,8.024.925,239.512,1.573.764,43.233,(4.896.305),4.985.129,8024925.0,239512.0,1573764.0,43233.0,-4896305.0,4985129.0
II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,,,,,,
1. Chi phí lãi,II. Chi phí > 1. Chi phí lãi,1. Chi phí lãi,(38.813.997),(2.682.847),(7.144.087),(276.462),35.720.786,(13.196.607),-38813997.0,-2682847.0,-7144087.0,-276462.0,35720786.0,-13196607.0
2. Chi phí khấu hao TSCĐ,II. Chi phí > 2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(350.974),(11.581),(28.059),(2.965),-,(393.579),-350974.0,-11581.0,-28059.0,-2965.0,,-393579.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,II. Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(15.826.115),(500.069),(2.439.905),(109.103),4.789.807,(14.085.385),-15826115.0,-500069.0,-2439905.0,-109103.0,4789807.0,-14085385.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,II. Chi phí > Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,11.432.480,1.093.813,3.490.822,124.940,(1.215.313),14.926.742,11432480.0,1093813.0,3490822.0,124940.0,-1215313.0,14926742.0
Chi phí dự phòng rủi ro,II. Chi phí > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(4.243.478),(589.677),(1.196.369),(76.412),1.215.313,(4.890.623),-4243478.0,-589677.0,-1196369.0,-76412.0,1215313.0,-4890623.0
Kết quả kinh doanh bộ phận,II. Chi phí > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,7.189.002,504.136,2.294.453,48.528,-,10.036.119,7189002.0,504136.0,2294453.0,48528.0,,10036119.0
