row_label_raw,row_label_full,col_0,Giá trị ghi sổ tại ngày mua VND,Điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại ngày mua VND,numeric__Giá trị ghi sổ tại ngày mua VND,numeric__Điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,195.522.248,-,195.522.248,195522248.0,,195522248.0
Phải thu ngắn hạn khác,Tài sản > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,195.053.025.659,-,195.053.025.659,195053025659.0,,195053025659.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,24.827.909.687,-,24.827.909.687,24827909687.0,,24827909687.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,2.583.838.623,-,2.583.838.623,2583838623.0,,2583838623.0
,,,222.660.296.217,,222.660.296.217,222660296217.0,,222660296217.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,
Vay và nợ thuê tài chính ngắn hạn,Nợ phải trả > Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,164.110.000.000,-,164.110.000.000,164110000000.0,,164110000000.0
Phải trả khác,Nợ phải trả > Phải trả khác,Phải trả khác,2.685.981.059,-,2.685.981.059,2685981059.0,,2685981059.0
,,,166.795.981.059,,166.795.981.059,166795981059.0,,166795981059.0
Tài sản thuần mua được,Nợ phải trả > Tài sản thuần mua được,Tài sản thuần mua được,55.864.315.158,-,55.864.315.158,55864315158.0,,55864315158.0
Lợi thế thương mại,Nợ phải trả > Lợi thế thương mại,Lợi thế thương mại,,,11.879.710.890,,,11879710890.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,,,(50.949.985.248),,,-50949985248.0
Tổng giá phí,Nợ phải trả > Tổng giá phí,Tổng giá phí,,,16.794.040.800,,,16794040800.0
Giá mua lần 1 đã ghi nhận theo phương pháp vốn chủ sở hữu tại ngày đạt được quyền kiểm soát,Nợ phải trả > Giá mua lần 1 đã ghi nhận theo phương pháp vốn chủ sở hữu tại ngày đạt được quyền kiểm soát,Giá mua lần 1 đã ghi nhận theo phương pháp vốn chủ sở hữu tại ngày đạt được quyền kiểm soát,,,2.354.880.585,,,2354880585.0
Đánh giá lại khoản đầu tư tại ngày mua,Nợ phải trả > Đánh giá lại khoản đầu tư tại ngày mua,Đánh giá lại khoản đầu tư tại ngày mua,,,440.560.215,,,440560215.0
Giá mua lần 2 trong năm 2016,Nợ phải trả > Giá mua lần 2 trong năm 2016,Giá mua lần 2 trong năm 2016,,,13.998.600.000,,,13998600000.0
Khoản tiền thu được,Nợ phải trả > Khoản tiền thu được,Khoản tiền thu được,,,(195.522.248),,,-195522248.0
Tiền thuần chi ra,Nợ phải trả > Tiền thuần chi ra,Tiền thuần chi ra,,,16.157.958.337,,,16157958337.0
