row_label_raw,row_label_full,col_0,Cổ phần thường VND,Cổ phần ưu đãi VND,Thăng dư vốn cổ phần VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Cổ phần thường VND,numeric__Cổ phần ưu đãi VND,numeric__Thăng dư vốn cổ phần VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2015,Tại ngày 1 tháng 1 năm 2015,Tại ngày 1 tháng 1 năm 2015,2.300.000.000.000,-,35.718.605.400,331.007.731.063,2.666.726.336.463,2300000000000.0,,35718605400.0,331007731063.0,2666726336463.0
Phát hành cổ phần phổ thông,Phát hành cổ phần phổ thông,Phát hành cổ phần phổ thông,974.657.610.000,-,-,-,974.657.610.000,974657610000.0,,,,974657610000.0
Phát hành cổ phần ưu đãi,Phát hành cổ phần ưu đãi,Phát hành cổ phần ưu đãi,-,178.300.000.000,881.380.000.000,-,1.059.680.000.000,,178300000000.0,881380000000.0,,1059680000000.0
Phát hành cổ phần phổ thông từ nguồn thẳng dư vốn cổ phần,Phát hành cổ phần phổ thông từ nguồn thẳng dư vốn cổ phần,Phát hành cổ phần phổ thông từ nguồn thẳng dư vốn cổ phần,34.500.000.000,-,(34.500.000.000),-,-,34500000000.0,,-34500000000.0,,
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,195.500.000.000,-,-,(195.500.000.000),-,195500000000.0,,,-195500000000.0,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,415.422.664.012,415.422.664.012,,,,415422664012.0,415422664012.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,(559.617.378),(559.617.378),,,,-559617378.0,-559617378.0
Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,3.504.657.610.000,178.300.000.000,882.598.605.400,550.370.777.697,5.115.926.993.097,3504657610000.0,178300000000.0,882598605400.0,550370777697.0,5115926993097.0
Phát hành cổ phần phổ thông (i),Phát hành cổ phần phổ thông (i),Phát hành cổ phần phổ thông (i),1.017.039.570.000,-,-,-,1.017.039.570.000,1017039570000.0,,,,1017039570000.0
Phát hành cổ phần phổ thông từ nguồn thẳng dư vốn cổ phần (ii),Phát hành cổ phần phổ thông từ nguồn thẳng dư vốn cổ phần (ii),Phát hành cổ phần phổ thông từ nguồn thẳng dư vốn cổ phần (ii),519.995.160.000,-,(519.995.160.000),-,-,519995160000.0,,-519995160000.0,,
Chảo bán riêng rè (iii),Chảo bán riêng rè (iii),Chảo bán riêng rè (iii),522.000.000.000,-,2.031.423.000.000,-,2.553.423.000.000,522000000000.0,,2031423000000.0,,2553423000000.0
Chuyển đổi cổ phần ưu đãi sang cổ phần phổ thông (iv),Chuyển đổi cổ phần ưu đãi sang cổ phần phổ thông (iv),Chuyển đổi cổ phần ưu đãi sang cổ phần phổ thông (iv),330.000.000.000,(110.000.000.000),(220.000.000.000),-,-,330000000000.0,-110000000000.0,-220000000000.0,,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,1.665.077.557.360,1.665.077.557.360,,,,1665077557360.0,1665077557360.0
Chia cổ tức (v),Chia cổ tức (v),Chia cổ tức (v),-,-,-,(53.490.000.000),(53.490.000.000),,,,-53490000000.0,-53490000000.0
Thay đổi tỷ lệ của công ty con đã năm quyền kiểm soát (vi),Thay đổi tỷ lệ của công ty con đã năm quyền kiểm soát (vi),Thay đổi tỷ lệ của công ty con đã năm quyền kiểm soát (vi),-,-,-,(1.209.508.504.543),(1.209.508.504.543),,,,-1209508504543.0,-1209508504543.0
Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,5.893.692.340.000,68.300.000.000,2.174.026.445.400,952.449.830.514,9.088.468.615.914,5893692340000.0,68300000000.0,2174026445400.0,952449830514.0,9088468615914.0
