row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,"Nhân hiệu, tên thương mại VND",Phần mềm VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,"numeric__Nhân hiệu, tên thương mại VND",numeric__Phần mềm VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1 tháng 1 năm 2016,Nguyên giá > Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,25.400.891.068,30.000.000,2.992.791.813,28.423.682.881,25400891068.0,30000000.0,2992791813.0,28423682881.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,112.225.000,(112.225.000),-,,112225000.0,-112225000.0,
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,1.721.646.237,1.721.646.237,,,1721646237.0,1721646237.0
Giảm do bán công ty con,Nguyên giá > Giảm do bán công ty con,Giảm do bán công ty con,-,-,(120.000.000),(120.000.000),,,-120000000.0,-120000000.0
Tại ngày 31 tháng 12 năm 2016,Nguyên giá > Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,25.400.891.068,142.225.000,4.482.213.050,30.025.329.118,25400891068.0,142225000.0,4482213050.0,30025329118.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Tại ngày 1 tháng 1 năm 2016,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,-,(14.999.982),(702.542.655),(717.542.637),,-14999982.0,-702542655.0,-717542637.0
Phân loại lại,Khấu hao lũy kế > Phân loại lại,Phân loại lại,-,(18.704.168),18.704.168,-,,-18704168.0,18704168.0,
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(66.112.500),(718.705.128),(784.817.628),,-66112500.0,-718705128.0,-784817628.0
Giảm do bán công ty con,Khấu hao lũy kế > Giảm do bán công ty con,Giảm do bán công ty con,-,-,120.000.000,120.000.000,,,120000000.0,120000000.0
Tại ngày 31 tháng 12 năm 2016,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,-,(99.816.650),(1.282.543.615),(1.382.360.265),,-99816650.0,-1282543615.0,-1382360265.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2016,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,25.400.891.068,15.000.018,2.290.249.158,27.706.140.244,25400891068.0,15000018.0,2290249158.0,27706140244.0
Tại ngày 31 tháng 12 năm 2016,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,25.400.891.068,42.408.350,3.199.669.435,28.642.968.853,25400891068.0,42408350.0,3199669435.0,28642968853.0
