row_label_raw,row_label_full,col_0,col_1,Tại ngày1.1.2016VND,Số phát sinhtrong nămVND,Cán trừtrong nămVND,Số đã thực nộptrong nămVND,Ảnh hưởng dohợp nhấtkinh doanhVND,Tại ngày31.12.2016VND,numeric__col_1,numeric__Tại ngày1.1.2016VND,numeric__Số phát sinhtrong nămVND,numeric__Cán trừtrong nămVND,numeric__Số đã thực nộptrong nămVND,numeric__Ảnh hưởng dohợp nhấtkinh doanhVND,numeric__Tại ngày31.12.2016VND
(a),(a),(a),Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,,,
(a),(a) > (a),(a),Thuế thu nhập doanh nghiệp,126.344.426.169,322.024.940.688,(45.507.042.865),(366.248.257.967),-,36.614.066.025,,126344426169.0,322024940688.0,-45507042865.0,-366248257967.0,,36614066025.0
(a),(a) > (a),(a),Thuế GTGT hàng bán nội địa,61.868.885.936,637.093.155.189,(268.363.460.899),(347.739.457.064),-,82.859.123.162,,61868885936.0,637093155189.0,-268363460899.0,-347739457064.0,,82859123162.0
(a),(a) > (a),(a),Thuế thu nhập cá nhân,5.157.860.240,80.116.441.836,-,(82.672.807.623),811.864.674,3.413.359.127,,5157860240.0,80116441836.0,,-82672807623.0,811864674.0,3413359127.0
(a),(a) > (a),(a),Thuế khác,19.602.307,200.964.356.473,-,(200.900.283.783),(16.213.253),67.461.744,,19602307.0,200964356473.0,,-200900283783.0,-16213253.0,67461744.0
(a),(a) > (a),(a),Cộng,193.390.774.652,1.240.198.894.186,(313.870.503.764),(997.560.806.437),795.651.421,122.954.010.058,,193390774652.0,1240198894186.0,-313870503764.0,-997560806437.0,795651421.0,122954010058.0
(b),(b),(b),Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,,,
(b),(b) > (b),(b),Thuế thu nhập doanh nghiệp tạm nộp 1%,(88.668.142.493),5.904.448.514,44.708.804.185,(45.087.779.530),-,(83.142.669.324),,-88668142493.0,5904448514.0,44708804185.0,-45087779530.0,,-83142669324.0
(b),(b) > (b),(b),Thuế GTGT được khấu trừ,(80.608.375.548),(557.139.384.956),314.217.571.454,33.349.255.250,(91.623.379.370),(381.804.313.170),,-80608375548.0,-557139384956.0,314217571454.0,33349255250.0,-91623379370.0,-381804313170.0
(b),(b) > (b),(b),Thuế GTGT nộp thừa,-,-,-,(20.031.825.299),-,(20.031.825.299),,,,,-20031825299.0,,-20031825299.0
(b),(b) > (b),(b),Thuế thu nhập doanh nghiệp (nộp thừa),(5.215.059.598),(114.390.311),798.238.680,(20.397.868.127),98.772.423,(24.830.306.933),,-5215059598.0,-114390311.0,798238680.0,-20397868127.0,98772423.0,-24830306933.0
(b),(b) > (b),(b),Thuế khác,(48.858.215),-,-,-,48.858.215,-,,-48858215.0,,,,48858215.0,
(b),(b) > (b),(b),Cộng,(174.540.435.854),(551.349.326.753),359.724.614.319,(52.168.217.706),(91.475.748.732),(509.809.114.726),,-174540435854.0,-551349326753.0,359724614319.0,-52168217706.0,-91475748732.0,-509809114726.0
