row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,"Thiết bị,dụng cụ quản lýVND",Tài sảncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sảncó định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2016,Nguyên giá > Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,13.223.361.505,7.304.888.753,49.620.988.474,24.595.738.870,561.728.452,95.306.706.054,13223361505.0,7304888753.0,49620988474.0,24595738870.0,561728452.0,95306706054.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,8.168.553.500,-,(8.228.243.500),59.690.000,-,,8168553500.0,,-8228243500.0,59690000.0,
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,39.746.072.552,2.765.289.613,36.087.175.637,7.311.835.413,343.200.000,86.253.573.215,39746072552.0,2765289613.0,36087175637.0,7311835413.0,343200000.0,86253573215.0
Tăng do mua công ty con,Nguyên giá > Tăng do mua công ty con,Tăng do mua công ty con,-,54.336.364,1.089.371.818,197.561.881,444.090.909,1.785.360.972,,54336364.0,1089371818.0,197561881.0,444090909.0,1785360972.0
Chuyển từ XDCB dở dang(Thuyết minh 16),Nguyên giá > Chuyển từ XDCB dở dang(Thuyết minh 16),Chuyển từ XDCB dở dang(Thuyết minh 16),6.173.813.491,-,3.177.536.000,-,-,9.351.349.491,6173813491.0,,3177536000.0,,,9351349491.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(9.581.077.800),(1.033.877.356),(18.627.470.894),(397.217.272),(401.818.182),(30.041.461.504),-9581077800.0,-1033877356.0,-18627470894.0,-397217272.0,-401818182.0,-30041461504.0
Giảm do bán công ty con,Nguyên giá > Giảm do bán công ty con,Giảm do bán công ty con,-,-,(335.000.000),(94.272.727),(91.818.182),(521.090.909),,,-335000000.0,-94272727.0,-91818182.0,-521090909.0
Tại ngày 31 tháng 12 năm 2016,Nguyên giá > Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,49.562.169.748,17.259.190.874,71.012.601.035,23.385.402.665,915.072.997,162.134.437.319,49562169748.0,17259190874.0,71012601035.0,23385402665.0,915072997.0,162134437319.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2016,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,(8.766.741.505),(2.020.455.123),(14.847.550.531),(9.331.495.550),(254.150.606),(35.220.393.315),-8766741505.0,-2020455123.0,-14847550531.0,-9331495550.0,-254150606.0,-35220393315.0
Phân loại lại,Khấu hao lũy kế > Phân loại lại,Phân loại lại,-,(5.548.382.903),-,5.581.504.019,(33.121.116),-,,-5548382903.0,,5581504019.0,-33121116.0,
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(1.544.454.918),(3.199.430.827),(8.630.645.695),(5.289.786.262),(308.259.431),(18.972.577.133),-1544454918.0,-3199430827.0,-8630645695.0,-5289786262.0,-308259431.0,-18972577133.0
Tăng do mua công ty con,Khấu hao lũy kế > Tăng do mua công ty con,Tăng do mua công ty con,-,(54.336.364),(247.337.925),(117.949.925),(91.376.258),(511.000.472),,-54336364.0,-247337925.0,-117949925.0,-91376258.0,-511000472.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",1.564.971.846,511.824.374,10.197.721.269,150.014.453,207.323.217,12.631.855.159,1564971846.0,511824374.0,10197721269.0,150014453.0,207323217.0,12631855159.0
Giảm do bán công ty con,Khấu hao lũy kế > Giảm do bán công ty con,Giảm do bán công ty con,-,-,27.916.665,10.942.424,79.065.655,117.924.744,,,27916665.0,10942424.0,79065655.0,117924744.0
Tại ngày 31 tháng 12 năm 2016,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,(8.746.224.577),(10.310.780.843),(13.499.896.217),(8.996.770.841),(400.518.539),(41.954.191.017),-8746224577.0,-10310780843.0,-13499896217.0,-8996770841.0,-400518539.0,-41954191017.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2016,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,4.456.620.000,5.284.433.630,34.773.437.943,15.264.243.320,307.577.846,60.086.312.739,4456620000.0,5284433630.0,34773437943.0,15264243320.0,307577846.0,60086312739.0
Tại ngày 31 tháng 12 năm 2016,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,40.815.945.171,6.948.410.031,57.512.704.818,14.388.631.824,514.554.458,120.180.246.302,40815945171.0,6948410031.0,57512704818.0,14388631824.0,514554458.0,120180246302.0
