row_label_raw,row_label_full,Công ty,Lợi nhuận sau thuế chưa phân phối tăng/(giảm) VND,numeric__Lợi nhuận sau thuế chưa phân phối tăng/(giảm) VND
Công ty Cổ phần Phát triển Quốc tế Thế Kỳ 21,Công ty Cổ phần Phát triển Quốc tế Thế Kỳ 21,Công ty Cổ phần Phát triển Quốc tế Thế Kỳ 21,(1.071.517.104.543),-1071517104543.0
Công ty Cổ phần Bất động sản Nova Lexington,Công ty Cổ phần Bất động sản Nova Lexington,Công ty Cổ phần Bất động sản Nova Lexington,(70.000.000.000),-70000000000.0
Công ty Cổ phần The Prince Residence,Công ty Cổ phần The Prince Residence,Công ty Cổ phần The Prince Residence,(36.000.000.000),-36000000000.0
Công ty Cổ phần Địa ốc Nova Galaxy,Công ty Cổ phần Địa ốc Nova Galaxy,Công ty Cổ phần Địa ốc Nova Galaxy,(32.000.000.000),-32000000000.0
Công ty TNHH Nova Sasco,Công ty TNHH Nova Sasco,Công ty TNHH Nova Sasco,8.600.000,8600000.0
,,,(1.209.508.504.543),-1209508504543.0
