row_label_raw,row_label_full,col_0,Giá trị ghi sổ tại ngày mua VND,Điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại ngày mua VND,numeric__Giá trị ghi sổ tại ngày mua VND,numeric__Điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,376.257.092.308,-,376.257.092.308,376257092308.0,,376257092308.0
Đầu tư nắm giữ đến ngày đáo hạn,Tài sản > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,18.000.000.000,-,18.000.000.000,18000000000.0,,18000000000.0
Phải thu ngắn hạn khác,Tài sản > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,907.768.712.503,-,907.768.712.503,907768712503.0,,907768712503.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,2.104.937.242.463,3.292.667.844.679,5.397.605.087.142,2104937242463.0,3292667844679.0,5397605087142.0
Phải thu dài hạn khác,Tài sản > Phải thu dài hạn khác,Phải thu dài hạn khác,1.332.959.320.000,-,1.332.959.320.000,1332959320000.0,,1332959320000.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,203.349.930.441,-,203.349.930.441,203349930441.0,,203349930441.0
,,,4.943.272.297.715,,8.235.940.142.394,4943272297715.0,,8235940142394.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,
Vay và nợ thuê tài chính ngắn hạn,Nợ phải trả > Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,1.356.433.940.111,-,1.356.433.940.111,1356433940111.0,,1356433940111.0
Thuế thu nhập hoãn lại phải trả,Nợ phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,-,658.533.568.936,658.533.568.936,,658533568936.0,658533568936.0
Phải trả khác,Nợ phải trả > Phải trả khác,Phải trả khác,1.184.925.960.838,-,1.184.925.960.838,1184925960838.0,,1184925960838.0
,,,2.541.359.900.949,,3.199.893.469.885,2541359900949.0,,3199893469885.0
Tài sản thuần mua được,Nợ phải trả > Tài sản thuần mua được,Tài sản thuần mua được,2.401.912.396.766,,5.036.046.672.509,2401912396766.0,,5036046672509.0
Lợi thể thương mại,Nợ phải trả > Lợi thể thương mại,Lợi thể thương mại,,,1.343.458.274.347,,,1343458274347.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,,,(883.226.302.773),,,-883226302773.0
Tổng giá phí,Nợ phải trả > Tổng giá phí,Tổng giá phí,,,5.496.278.644.083,,,5496278644083.0
Giá mua lần 1 đã ghi nhận theo phương pháp vốn chủ sở hữu tại ngày đạt được quyền kiểm soát,Nợ phải trả > Giá mua lần 1 đã ghi nhận theo phương pháp vốn chủ sở hữu tại ngày đạt được quyền kiểm soát,Giá mua lần 1 đã ghi nhận theo phương pháp vốn chủ sở hữu tại ngày đạt được quyền kiểm soát,,,1.306.006.026.645,,,1306006026645.0
Đánh giá lại khoản đầu tư vào công ty liên kết tại ngày mua (*),Nợ phải trả > Đánh giá lại khoản đầu tư vào công ty liên kết tại ngày mua (*),Đánh giá lại khoản đầu tư vào công ty liên kết tại ngày mua (*),,,1.541.284.094.076,,,1541284094076.0
Giá mua lần 2 trong năm 2016,Nợ phải trả > Giá mua lần 2 trong năm 2016,Giá mua lần 2 trong năm 2016,,,2.648.988.523.362,,,2648988523362.0
Khoản tiền thu được,Nợ phải trả > Khoản tiền thu được,Khoản tiền thu được,,,(376.257.092.308),,,-376257092308.0
Tiền thuần chỉ ra (**),Nợ phải trả > Tiền thuần chỉ ra (**),Tiền thuần chỉ ra (**),,,3.578.737.457.699,,,3578737457699.0
