row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Nhà cửa VND,Nhà cửa và vật kiến trúc VND,Cơ sở hạ tầng VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Nhà cửa VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Cơ sở hạ tầng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2016,Nguyên giá > Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,44.138.299.530,85.023.755.031,52.444.906.363,935.044.107.875,1.116.651.068.799,44138299530.0,85023755031.0,52444906363.0,935044107875.0,1116651068799.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,49.078.589.103,(85.023.755.031),970.989.273.803,(935.044.107.875),-,49078589103.0,-85023755031.0,970989273803.0,-935044107875.0,
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,63.841.776.091,-,930.892.792.594,-,994.734.568.685,63841776091.0,,930892792594.0,,994734568685.0
Chuyển từ XDCB dở dang (Thuyết minh 16),Nguyên giá > Chuyển từ XDCB dở dang (Thuyết minh 16),Chuyển từ XDCB dở dang (Thuyết minh 16),-,-,10.819.815.083,-,10.819.815.083,,,10819815083.0,,10819815083.0
Chuyển sang hàng tồn kho,Nguyên giá > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,-,-,(100.134.460.909),-,(100.134.460.909),,,-100134460909.0,,-100134460909.0
Tại ngày 31 tháng 12 năm 2016,Nguyên giá > Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,157.058.664.724,-,1.865.012.326.934,-,2.022.070.991.658,157058664724.0,,1865012326934.0,,2022070991658.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2016,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,-,(2.692.840.232),(3.366.317.261),(27.806.387.633),(33.865.545.126),,-2692840232.0,-3366317261.0,-27806387633.0,-33865545126.0
Phân loại lại,Khấu hao lũy kế > Phân loại lại,Phân loại lại,-,2.692.840.232,(30.499.227.865),27.806.387.633,-,,2692840232.0,-30499227865.0,27806387633.0,
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,-,(44.894.791.220),-,(44.894.791.220),,,-44894791220.0,,-44894791220.0
Chuyển sang hàng tồn kho,Khấu hao lũy kế > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,-,-,1.702.454.940,-,1.702.454.940,,,1702454940.0,,1702454940.0
Tại ngày 31 tháng 12 năm 2016,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,-,-,(77.057.881.406),-,(77.057.881.406),,,-77057881406.0,,-77057881406.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2016,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,44.138.299.530,82.330.914.799,49.078.589.102,907.237.720.242,1.082.785.523.673,44138299530.0,82330914799.0,49078589102.0,907237720242.0,1082785523673.0
Tại ngày 31 tháng 12 năm 2016,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,157.058.664.724,-,1.787.954.445.528,-,1.945.013.110.252,157058664724.0,,1787954445528.0,,1945013110252.0
