row_label_raw,row_label_full,col_0,Giá trị ghi số tại ngày mua VND,Điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại ngày mua VND,numeric__Giá trị ghi số tại ngày mua VND,numeric__Điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,13.430.575.435,-,13.430.575.435,13430575435.0,,13430575435.0
Các khoản phải thu,Tài sản > Các khoản phải thu,Các khoản phải thu,296.110.556.872,-,296.110.556.872,296110556872.0,,296110556872.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,585.068.287.996,93.022.117.585,678.090.405.581,585068287996.0,93022117585.0,678090405581.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,30.686.419.304,-,30.686.419.304,30686419304.0,,30686419304.0
,,,925.295.839.607,,1.018.317.957.192,925295839607.0,,1018317957192.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,
Vay và nợ thuê tài chính ngắn hạn,Nợ phải trả > Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,590.607.650.858,,590.607.650.858,590607650858.0,,590607650858.0
Thuế thu nhập hoãn lại phải trả,Nợ phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,-,18.604.423.517,18.604.423.517,,18604423517.0,18604423517.0
Phải trả khác,Nợ phải trả > Phải trả khác,Phải trả khác,41.854.839.614,,41.854.839.614,41854839614.0,,41854839614.0
,,,632.462.490.472,,651.066.913.989,632462490472.0,,651066913989.0
Tài sản thuần mua được,Nợ phải trả > Tài sản thuần mua được,Tài sản thuần mua được,292.833.349.135,,367.251.043.203,292833349135.0,,367251043203.0
Lợi thế thương mại,Nợ phải trả > Lợi thế thương mại,Lợi thế thương mại,,,(176.262.160),,,-176262160.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,,,(367.251.043),,,-367251043.0
Tổng giá phí,Nợ phải trả > Tổng giá phí,Tổng giá phí,,,366.707.530.000,,,366707530000.0
Khoản tiền thu được,Nợ phải trả > Khoản tiền thu được,Khoản tiền thu được,,,(13.430.575.435),,,-13430575435.0
Tiền thuần chi ra,Nợ phải trả > Tiền thuần chi ra,Tiền thuần chi ra,,,353.276.954.565,,,353276954565.0
