row_label_raw,row_label_full,col_0,Giá trị ghi sốtại ngày mua VND,Điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại ngày mua VND,numeric__Giá trị ghi sốtại ngày mua VND,numeric__Điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,6.044.547.619,-,6.044.547.619,6044547619.0,,6044547619.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,833.642.806.637,-,833.642.806.637,833642806637.0,,833642806637.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,448.226.346.036,793.556.971.530,1.241.783.317.566,448226346036.0,793556971530.0,1241783317566.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,24.958.122.791,-,24.958.122.791,24958122791.0,,24958122791.0
,,,1.312.871.823.083,,2.106.428.794.613,1312871823083.0,,2106428794613.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,
Vay và nợ thuê tài chính ngắn hạn,Nợ phải trả > Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,990.316.435.328,-,990.316.435.328,990316435328.0,,990316435328.0
Phải trả khác,Nợ phải trả > Phải trả khác,Phải trả khác,138.941.731.071,-,138.941.731.071,138941731071.0,,138941731071.0
Thuế thu nhập hoãn lại phải trả,Nợ phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,-,158.711.394.306,158.711.394.306,,158711394306.0,158711394306.0
,,,1.129.258.166.399,,1.287.969.560.705,1129258166399.0,,1287969560705.0
Tài sản thuần,Nợ phải trả > Tài sản thuần,Tài sản thuần,183.613.656.684,,818.459.233.908,183613656684.0,,818459233908.0
Lợi thế thương mại,Nợ phải trả > Lợi thế thương mại,Lợi thế thương mại,,,158.530.685.672,,,158530685672.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,,,(802.604.580),,,-802604580.0
Tổng giá phí,Nợ phải trả > Tổng giá phí,Tổng giá phí,,,976.187.315.000,,,976187315000.0
Khoản tiền thu được,Nợ phải trả > Khoản tiền thu được,Khoản tiền thu được,,,(6.044.547.619),,,-6044547619.0
Tiền thuần chỉ ra,Nợ phải trả > Tiền thuần chỉ ra,Tiền thuần chỉ ra,,,970.142.767.381,,,970142767381.0
