row_label_raw,row_label_full,col_0,Giá trị ghi sốtại ngày mua VND,Điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại ngày mua VND,numeric__Giá trị ghi sốtại ngày mua VND,numeric__Điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,26.568.523.345,-,26.568.523.345,26568523345.0,,26568523345.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,720.835.870.211,-,720.835.870.211,720835870211.0,,720835870211.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,589.197.100.100,674.684.409.233,1.263.881.509.333,589197100100.0,674684409233.0,1263881509333.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,30.596.372.524,-,30.596.372.524,30596372524.0,,30596372524.0
,,,1.367.197.866.180,,2.041.882.275.413,1367197866180.0,,2041882275413.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,
Vay và nợ thuê tài chính ngắn hạn,Nợ phải trả > Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,820.620.875.073,-,820.620.875.073,820620875073.0,,820620875073.0
Phải trả khác,Nợ phải trả > Phải trả khác,Phải trả khác,282.382.191.880,-,282.382.191.880,282382191880.0,,282382191880.0
Thuế thu nhập hoãn lại phải trả,Nợ phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,-,134.936.881.847,134.936.881.847,,134936881847.0,134936881847.0
,,,1.103.003.066.953,,1.237.939.948.800,1103003066953.0,,1237939948800.0
Tài sản thuần,Nợ phải trả > Tài sản thuần,Tài sản thuần,264.194.799.227,,803.942.326.613,264194799227.0,,803942326613.0
Lợi thế thương mại,Nợ phải trả > Lợi thế thương mại,Lợi thế thương mại,,,134.686.409.868,,,134686409868.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,,,(2.427.326.481),,,-2427326481.0
Tổng giá phí,Nợ phải trả > Tổng giá phí,Tổng giá phí,,,936.201.410.000,,,936201410000.0
Khoản tiền thu được,Nợ phải trả > Khoản tiền thu được,Khoản tiền thu được,,,(26.568.523.345),,,-26568523345.0
Tiền thuần chi ra,Nợ phải trả > Tiền thuần chi ra,Tiền thuần chi ra,,,909.632.886.655,,,909632886655.0
