row_label_raw,row_label_full,col_0,Giá trị ghi sốtại ngày mua VND,Điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại ngày mua VND,numeric__Giá trị ghi sốtại ngày mua VND,numeric__Điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại ngày mua VND
Tài sản thuần mua được,Tài sản thuần mua được,Tài sản thuần mua được,Tài sản thuần mua được,Tài sản thuần mua được,Tài sản thuần mua được,,,
Tiền và các khoản tương đương tiền,Tài sản thuần mua được > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,235.095.106,-,235.095.106,235095106.0,,235095106.0
Phải thu ngắn hạn khác,Tài sản thuần mua được > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,300.382.869.614,-,300.382.869.614,300382869614.0,,300382869614.0
Hàng tồn kho,Tài sản thuần mua được > Hàng tồn kho,Hàng tồn kho,300.124.352.684,742.841.000.000,1.042.965.352.684,300124352684.0,742841000000.0,1042965352684.0
Tài sản khác,Tài sản thuần mua được > Tài sản khác,Tài sản khác,6.463.930.091,-,6.463.930.091,6463930091.0,,6463930091.0
,,,607.206.247.495,-,1.350.047.247.495,607206247495.0,,1350047247495.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,
Vay và nợ thuê tài chính ngắn hạn,Nợ phải trả > Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,475.898.662.638,-,475.898.662.638,475898662638.0,,475898662638.0
Phải trả khác,Nợ phải trả > Phải trả khác,Phải trả khác,13.642.613.461,-,13.642.613.461,13642613461.0,,13642613461.0
Thuế thu nhập hoãn lại phải trả,Nợ phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,-,148.568.200.000,148.568.200.000,,148568200000.0,148568200000.0
,,,489.541.276.099,,638.109.476.099,489541276099.0,,638109476099.0
Tài sản thuần nhận được,Nợ phải trả > Tài sản thuần nhận được,Tài sản thuần nhận được,117.664.971.396,,711.937.771.396,117664971396.0,,711937771396.0
Lợi thế thương mại,Nợ phải trả > Lợi thế thương mại,Lợi thế thương mại,,,205.448.339.075,,,205448339075.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,,,(159.923.920),,,-159923920.0
Tổng giá phí,Nợ phải trả > Tổng giá phí,Tổng giá phí,,,917.226.186.551,,,917226186551.0
Giá mua lần 1 trong năm 2015,Nợ phải trả > Giá mua lần 1 trong năm 2015,Giá mua lần 1 trong năm 2015,,,50.583.750.000,,,50583750000.0
Đánh giá lại khoản đầu tư tại ngày mua,Nợ phải trả > Đánh giá lại khoản đầu tư tại ngày mua,Đánh giá lại khoản đầu tư tại ngày mua,,,55.767.289.431,,,55767289431.0
Giá mua lần 2 trong năm 2016,Nợ phải trả > Giá mua lần 2 trong năm 2016,Giá mua lần 2 trong năm 2016,,,810.875.147.120,,,810875147120.0
Khoản tiền thu được,Nợ phải trả > Khoản tiền thu được,Khoản tiền thu được,,,(235.095.106),,,-235095106.0
Tiền thuần chỉ ra mua công ty,Nợ phải trả > Tiền thuần chỉ ra mua công ty,Tiền thuần chỉ ra mua công ty,,,861.223.802.014,,,861223802014.0
