row_label_raw,row_label_full,col_0,Lợi thế thương mại VND,Thời gian phân bổ Năm,numeric__Lợi thế thương mại VND,numeric__Thời gian phân bổ Năm
Công ty Cổ phần Phát triển Quốc tế Thế Kỳ 21,Công ty Cổ phần Phát triển Quốc tế Thế Kỳ 21,Công ty Cổ phần Phát triển Quốc tế Thế Kỳ 21,1.343.458.274.347,10,1343458274347.0,10.0
Công ty Cổ phần Đầu tư và Thương mại Nhà Rồng,Công ty Cổ phần Đầu tư và Thương mại Nhà Rồng,Công ty Cổ phần Đầu tư và Thương mại Nhà Rồng,205.448.339.075,10,205448339075.0,10.0
Công ty TNHH Phú Việt Tín,Công ty TNHH Phú Việt Tín,Công ty TNHH Phú Việt Tín,158.530.685.672,10,158530685672.0,10.0
Công ty TNHH Nova RiverGate,Công ty TNHH Nova RiverGate,Công ty TNHH Nova RiverGate,138.103.693.941,10,138103693941.0,10.0
Công ty Cổ phần Cao Óc Phương Đông,Công ty Cổ phần Cao Óc Phương Đông,Công ty Cổ phần Cao Óc Phương Đông,31.780.744.978,10,31780744978.0,10.0
Công ty TNHH Đầu tư Bất động sản Tường Minh,Công ty TNHH Đầu tư Bất động sản Tường Minh,Công ty TNHH Đầu tư Bất động sản Tường Minh,27.449.625.979,10,27449625979.0,10.0
Công ty TNHH Mega Tie,Công ty TNHH Mega Tie,Công ty TNHH Mega Tie,10.928.628.686,10,10928628686.0,10.0
Công ty Cổ phần Ngôi nhà Mega,Công ty Cổ phần Ngôi nhà Mega,Công ty Cổ phần Ngôi nhà Mega,951.082.204,10,951082204.0,10.0
Công ty TNHH Đầu tư BĐS Vương Cung,Công ty TNHH Đầu tư BĐS Vương Cung,Công ty TNHH Đầu tư BĐS Vương Cung,1.006.219.357,10,1006219357.0,10.0
,,,1.917.657.294.239,,1917657294239.0,
