row_label_raw,row_label_full,col_0,Giá trị ghi sô tại ngày mua VND,Điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại ngày mua VND,numeric__Giá trị ghi sô tại ngày mua VND,numeric__Điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,5.521.815.805,-,5.521.815.805,5521815805.0,,5521815805.0
Các khoản phải thu,Tài sản > Các khoản phải thu,Các khoản phải thu,276.772.613.313,-,276.772.613.313,276772613313.0,,276772613313.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,195.683.834.280,158.727.871.488,354.411.705.768,195683834280.0,158727871488.0,354411705768.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,2.880.617.564,-,2.880.617.564,2880617564.0,,2880617564.0
,,,480.858.880.962,,639.586.752.450,480858880962.0,,639586752450.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,
Vay và nợ thuê tài chính ngắn hạn,Nợ phải trả > Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,329.364.060.285,-,329.364.060.285,329364060285.0,,329364060285.0
Phải trả khác,Nợ phải trả > Phải trả khác,Phải trả khác,11.716.175.104,-,11.716.175.104,11716175104.0,,11716175104.0
Thuế thu nhập hoãn lại phải trả,Nợ phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,-,31.745.574.298,31.745.574.298,,31745574298.0,31745574298.0
,,,341.080.235.389,,372.825.809.687,341080235389.0,,372825809687.0
Tài sản thuần mua được,Nợ phải trả > Tài sản thuần mua được,Tài sản thuần mua được,139.778.645.573,,266.760.942.763,139778645573.0,,266760942763.0
Lợi thế thương mại,Nợ phải trả > Lợi thế thương mại,Lợi thế thương mại,,,59.230.370.957,,,59230370957.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,,,(325.709.720),,,-325709720.0
Tổng giá phí,Nợ phải trả > Tổng giá phí,Tổng giá phí,,,325.665.604.000,,,325665604000.0
Khoản tiền thu được,Nợ phải trả > Khoản tiền thu được,Khoản tiền thu được,,,(5.521.815.805),,,-5521815805.0
Tiền thuần chi ra,Nợ phải trả > Tiền thuần chi ra,Tiền thuần chi ra,,,320.143.788.195,,,320143788195.0
