row_label_raw,row_label_full,col_0,Giá trị ghi sổ tại ngày mua VND,Điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại ngày mua VND,numeric__Giá trị ghi sổ tại ngày mua VND,numeric__Điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,312.826.517,-,312.826.517,312826517.0,,312826517.0
Phải thu ngắn hạn,Tài sản > Phải thu ngắn hạn,Phải thu ngắn hạn,18.679.961.110,-,18.679.961.110,18679961110.0,,18679961110.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,892.384,-,892.384,892384.0,,892384.0
Tài sản thuần mua được,Tài sản > Tài sản thuần mua được,Tài sản thuần mua được,18.993.680.011,-,18.993.680.011,18993680011.0,,18993680011.0
Lợi thế thương mại,Tài sản > Lợi thế thương mại,Lợi thế thương mại,,,1.006.219.357,,,1006219357.0
Lợi ích cổ đông không kiểm soát,Tài sản > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,,,(1.899.368),,,-1899368.0
Tổng giá phí,Tài sản > Tổng giá phí,Tổng giá phí,,,19.998.000.000,,,19998000000.0
Khoản tiền thu được,Tài sản > Khoản tiền thu được,Khoản tiền thu được,,,(312.826.517),,,-312826517.0
Tiền thuần chi ra,Tài sản > Tiền thuần chi ra,Tiền thuần chi ra,,,19.685.173.483,,,19685173483.0
