row_label_raw,row_label_full,Mối quan hệ,Tên,numeric__Tên
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sải Gòn,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty Cổ phần Cắng Phú Định,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty Cổ phần Nova Đông Hải,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty TNHH MTV Phát triển Nhà Bến Thành,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty TNHH Sài Gòn Gòn,
Cổ đông,Cổ đông,Cổ đông,Ông Bùi Thành Nhơn,
Cổ đông,Cổ đông,Cổ đông,Ông Bùi Cao Nhật Quân,
Người liên quan của cổ đông,Người liên quan của cổ đông,Người liên quan của cổ đông,Bà Cao Thị Ngọc Sương,
Người liên quan của cổ đông,Người liên quan của cổ đông,Người liên quan của cổ đông,Ông Bùi Phan Phú Lộc,
Công ty thuộc sở hữu của cổ đông,Công ty thuộc sở hữu của cổ đông,Công ty thuộc sở hữu của cổ đông,Công ty Cổ phần Bất động sản BNP Global,
Công ty là cổ đông lớn của công ty con,Công ty là cổ đông lớn của công ty con,Công ty là cổ đông lớn của công ty con,Công ty Cổ phần Him Lam,
