row_label_raw,row_label_full,Đặt cọc cho hợp đồng dịch vụ tư vấn đầu tư (thuyết minh 9(a)) > Phát triển và hợp tác đầu tư dự án (thuyết minh 9(a)),2016 > Giá trị VND > - > 782.536.582.050,2016 > Dự phòng VND > -,2015 > Giá trị VND > 2.337.600.000.000 > 964.336.582.050,2015 > Dự phòng VND > -,numeric__2016 > Giá trị VND > - > 782.536.582.050,numeric__2016 > Dự phòng VND > -,numeric__2015 > Giá trị VND > 2.337.600.000.000 > 964.336.582.050,numeric__2015 > Dự phòng VND > -
Phải thu khác,Phải thu khác,Phải thu khác,128.481.971.211,-,4.164.604.160,-,128481971211.0,,4164604160.0,
,,,911.018.553.261,,3.306.101.186.210,,911018553261.0,,3306101186210.0,
"Trong đó, số dư của bên thứ ba và bên liên quan như sau:","Trong đó, số dư của bên thứ ba và bên liên quan như sau:","Trong đó, số dư của bên thứ ba và bên liên quan như sau:","Trong đó, số dư của bên thứ ba và bên liên quan như sau:","Trong đó, số dư của bên thứ ba và bên liên quan như sau:","Trong đó, số dư của bên thứ ba và bên liên quan như sau:","Trong đó, số dư của bên thứ ba và bên liên quan như sau:",,,,
Bên thứ ba,"Trong đó, số dư của bên thứ ba và bên liên quan như sau: > Bên thứ ba",Bên thứ ba,504.619.777.261,-,2.899.702.410.210,-,504619777261.0,,2899702410210.0,
Bên liên quan (Thuyết minh 41(b)),"Trong đó, số dư của bên thứ ba và bên liên quan như sau: > Bên liên quan (Thuyết minh 41(b))",Bên liên quan (Thuyết minh 41(b)),406.398.776.000,-,406.398.776.000,-,406398776000.0,,406398776000.0,
,,,911.018.553.261,,3.306.101.186.210,,911018553261.0,,3306101186210.0,
