row_label_raw,row_label_full,col_0,col_1,Năm tài chính kết thúcngày 31 tháng 12 năm,Năm tài chính kết thúcngày 31 tháng 12 năm_1,Năm tài chính kết thúcngày 31 tháng 12 năm_2,numeric__col_1,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm_1,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm_2
Mãsố,Mãsố,Mãsố,,Thuyếtminh,2016VND,2015VND,,,,
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
31,Mãsố > 31,31,"Thu từ phát hành cổ phiếu, nhận vốn góp củachủ sở hữu",,3.985.340.870.000,2.034.337.610.000,,,3985340870000.0,2034337610000.0
33,Mãsố > 33,33,"Thu từ vay ngắn hạn, dài hạn",,12.884.785.455.043,7.012.431.454.579,,,12884785455043.0,7012431454579.0
34,Mãsố > 34,34,Chi trả nợ gốc vay,,(10.939.826.576.518),(2.714.683.880.779),,,-10939826576518.0,-2714683880779.0
36,Mãsố > 36,36,"Chi trả cổ tức, lợi nhuận cho chủ sở hữu",,(54.639.219.932),-,,,-54639219932.0,
40,Mãsố > 40,40,Lưu chuyển thuần từ hoạt động tài chính,,5.875.660.528.593,6.332.085.183.800,,,5875660528593.0,6332085183800.0
50,Mãsố > 50,50,Lưu chuyển tiền thuần trong năm,,(523.489.640.342),1.080.295.529.930,,,-523489640342.0,1080295529930.0
60,Mãsố > 60,60,Tiền và tương đương tiền đầu năm,4,3.859.710.163.282,2.779.414.633.352,,4.0,3859710163282.0,2779414633352.0
61,Mãsố > 61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đốingoại tệ,,748.909.851,-,,,748909851.0,
70,Mãsố > 70,70,Tiền và tương đương tiền cuối năm,4,3.336.969.432.791,3.859.710.163.282,,4.0,3336969432791.0,3859710163282.0
