row_label_raw,row_label_full,Tên công ty con,Trụ sở,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tỷ lệ sở hữu và tỷ lệ quyền biểu quyết (%),Tỷ lệ sở hữu và tỷ lệ quyền biểu quyết (%)_1,numeric__Trụ sở,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng hoạt động,numeric__Tỷ lệ sở hữu và tỷ lệ quyền biểu quyết (%),numeric__Tỷ lệ sở hữu và tỷ lệ quyền biểu quyết (%)_1
Tên công ty con,Tên công ty con,Tên công ty con,Trụ sở,Lĩnh vực kinh doanh,Tình trạng hoạt động,Số cuối năm,Số đầu năm,,,,,
Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,,,,,
(1) Công ty Cổ phần Thế Giới Di Động,Công ty con trực tiếp > (1) Công ty Cổ phần Thế Giới Di Động,(1) Công ty Cổ phần Thế Giới Di Động,"Thành phố Hồ Chí Minh, Việt Nam",Thương mại sản phẩm điện tử,Đang hoạt động,"99,95","99,95",,,,99.95,99.95
(2) Công ty Cổ phần Công nghệ và Đầu tư Bách Hóa Xanh,Công ty con trực tiếp > (2) Công ty Cổ phần Công nghệ và Đầu tư Bách Hóa Xanh,(2) Công ty Cổ phần Công nghệ và Đầu tư Bách Hóa Xanh,"Thành phố Hồ Chí Minh, Việt Nam",Quản lý đầu tư,Đang hoạt động,"94,99","99,99",,,,94.99,99.99
(3) Công ty Cổ phần Thế Giới Số Trần Anh (*),Công ty con trực tiếp > (3) Công ty Cổ phần Thế Giới Số Trần Anh (*),(3) Công ty Cổ phần Thế Giới Số Trần Anh (*),"Thành phố Hà Nội, Việt Nam",Thương mại sản phẩm điện tử,Ngưng hoạt động,"99,33","99,33",,,,99.33,99.33
(4) Công ty TNHH MTV Công nghệ Thông tin Thế Giới Di Động,Công ty con trực tiếp > (4) Công ty TNHH MTV Công nghệ Thông tin Thế Giới Di Động,(4) Công ty TNHH MTV Công nghệ Thông tin Thế Giới Di Động,"Thành phố Hồ Chí Minh, Việt Nam",Công nghệ thông tin,Đang hoạt động,"100,00","100,00",,,,100.0,100.0
(5) Công ty Cổ phần 4K Farm (*),Công ty con trực tiếp > (5) Công ty Cổ phần 4K Farm (*),(5) Công ty Cổ phần 4K Farm (*),"Bà Rịa - Vũng Tàu, Việt Nam",Trồng và chế biến nông sản,Ngưng hoạt động,"99,99","99,99",,,,99.99,99.99
(6) Công ty Cổ phần Logistics Toàn Tín (*),Công ty con trực tiếp > (6) Công ty Cổ phần Logistics Toàn Tín (*),(6) Công ty Cổ phần Logistics Toàn Tín (*),"Thành phố Hồ Chí Minh, Việt Nam",Kho vận,Ngưng hoạt động,-,"99,99",,,,,99.99
(7) Công ty Cổ phần Dịch vụ Lắp đặt – Sửa chữa – Bảo hành Tận Tâm,Công ty con trực tiếp > (7) Công ty Cổ phần Dịch vụ Lắp đặt – Sửa chữa – Bảo hành Tận Tâm,(7) Công ty Cổ phần Dịch vụ Lắp đặt – Sửa chữa – Bảo hành Tận Tâm,"Thành phố Hồ Chí Minh, Việt Nam","Sửa chữa máy móc, thiết bị",Đang hoạt động,"99,99","99,99",,,,99.99,99.99
Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,,,,,
(8) Công ty Cổ phần Thương mại Bách Hóa Xanh,Công ty con gián tiếp > (8) Công ty Cổ phần Thương mại Bách Hóa Xanh,(8) Công ty Cổ phần Thương mại Bách Hóa Xanh,"Thành phố Hồ Chí Minh, Việt Nam",Thương mại thực phẩm,Đang hoạt động,"99,95","99,95",,,,99.95,99.95
(9) Công ty Cổ phần Dược phẩm An Khang Pharma,Công ty con gián tiếp > (9) Công ty Cổ phần Dược phẩm An Khang Pharma,(9) Công ty Cổ phần Dược phẩm An Khang Pharma,"Thành phố Hồ Chí Minh, Việt Nam",Bán lẻ được phẩm,Đang hoạt động,"99,99","99,99",,,,99.99,99.99
"(10)MWG (Cambodia) Co., Ltd (*)","Công ty con gián tiếp > (10)MWG (Cambodia) Co., Ltd (*)","(10)MWG (Cambodia) Co., Ltd (*)","Phnôm Pênh, Campuchia",Thương mại sản phẩm điện tử,Ngưng hoạt động,"99,95","99,95",,,,99.95,99.95
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,,,
(11)PT Era Blu Elektronik,Công ty liên doanh > (11)PT Era Blu Elektronik,(11)PT Era Blu Elektronik,Indonesia,Thương mại sản phẩm điện tử,Đang hoạt động,"45,00","45,00",,,,45.0,45.0
