row_label_raw,row_label_full,Công ty TNHH Bia và Nước giải khát Heineken Việt Nam,Số cuối năm > 45.128.651.755,VND Số đầu năm > 29.000.000.000,numeric__Số cuối năm > 45.128.651.755,numeric__VND Số đầu năm > 29.000.000.000
Công ty TNHH Thương mại Hoàng Kim Xu,Công ty TNHH Thương mại Hoàng Kim Xu,Công ty TNHH Thương mại Hoàng Kim Xu,11.370.423.630,47.006.342.513,11370423630.0,47006342513.0
Công ty Cổ phần Thế giới số,Công ty Cổ phần Thế giới số,Công ty Cổ phần Thế giới số,11.229.900.000,-,11229900000.0,
Khác,Khác,Khác,48.159.407.726,19.974.750.738,48159407726.0,19974750738.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,115.888.383.111,95.981.093.251,115888383111.0,95981093251.0
