row_label_raw,row_label_full,col_0,VNDCông ty Cổ phần ThếGiới Số Trần Anh (*),numeric__VNDCông ty Cổ phần ThếGiới Số Trần Anh (*)
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số đầu năm và cuối năm,Nguyên giá > Số đầu năm và cuối năm,Số đầu năm và cuối năm,613.918.721.185,613918721185.0
Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,
Số đầu năm,Giá trị phân bổ lũy kế > Số đầu năm,Số đầu năm,(368.351.232.714),-368351232714.0
Phân bổ trong năm,Giá trị phân bổ lũy kế > Phân bổ trong năm,Phân bổ trong năm,(245.567.488.471),-245567488471.0
Số cuối năm,Giá trị phân bổ lũy kế > Số cuối năm,Số cuối năm,(613.918.721.185),-613918721185.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,245.567.488.471,245567488471.0
Số cuối năm,Số cuối năm,Số cuối năm,-,
