row_label_raw,row_label_full,col_0,31/12/2025 > Giá trị VND,31/12/2025 > Dự phòng VND,01/01/2025 > Giá trị VND,01/01/2025 > Dự phòng VND,numeric__31/12/2025 > Giá trị VND,numeric__31/12/2025 > Dự phòng VND,numeric__01/01/2025 > Giá trị VND,numeric__01/01/2025 > Dự phòng VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,705.259.409.911,(615.918.304.968),713.698.172.323,(547.920.833.866),705259409911.0,-615918304968.0,713698172323.0,-547920833866.0
- Phải thu lãi cho vay (1),- Phải thu lãi cho vay (1),- Phải thu lãi cho vay (1),687.689.340.652,(612.773.721.847),582.117.624.657,(546.728.542.304),687689340652.0,-612773721847.0,582117624657.0,-546728542304.0
- Công ty TNHH Đức Long Dung Quát,- Công ty TNHH Đức Long Dung Quát,- Công ty TNHH Đức Long Dung Quát,-,-,107.470.200.000,-,,,107470200000.0,
- Công ty CP BOT và BT Đức Long Đắk Nông (2),- Công ty CP BOT và BT Đức Long Đắk Nông (2),- Công ty CP BOT và BT Đức Long Đắk Nông (2),14.240.000.000,-,20.572.500.000,-,14240000000.0,,20572500000.0,
- Tạm ứng cho nhân viên,- Tạm ứng cho nhân viên,- Tạm ứng cho nhân viên,3.206.732.759,(3.071.246.621),3.347.726.497,(1.192.291.562),3206732759.0,-3071246621.0,3347726497.0,-1192291562.0
"- Ký quỹ, ký cược ngắn hạn","- Ký quỹ, ký cược ngắn hạn","- Ký quỹ, ký cược ngắn hạn",50.000.000,-,50.000.000,-,50000000.0,,50000000.0,
- Phải thu khác,- Phải thu khác,- Phải thu khác,73.336.500,(73.336.500),140.121.169,-,73336500.0,-73336500.0,140121169.0,
Dải hạn,Dải hạn,Dải hạn,346.014.654.599,-,1.268.670.000,-,346014654599.0,,1268670000.0,
"- Ký quỹ, ký cược dài hạn","- Ký quỹ, ký cược dài hạn","- Ký quỹ, ký cược dài hạn",1.268.670.000,-,1.268.670.000,-,1268670000.0,,1268670000.0,
- Công ty CP Trồng Rừng và Cây Công Nghiệp ĐLGL (3),- Công ty CP Trồng Rừng và Cây Công Nghiệp ĐLGL (3),- Công ty CP Trồng Rừng và Cây Công Nghiệp ĐLGL (3),344.745.984.599,-,-,-,344745984599.0,,,
,,,1.051.274.064.510,(615.918.304.968),714.966.842.323,(547.920.833.866),1051274064510.0,-615918304968.0,714966842323.0,-547920833866.0
Phải thu khác bên liên quan,Phải thu khác bên liên quan,Phải thu khác bên liên quan,251.187.559.920,,251.450.087.569,,251187559920.0,,251450087569.0,
