row_label_raw,row_label_full,Năm 2024,"Hoạt động bán gỗ, thành phẩm từ gỗVND",Hoạt động bán phân bónVND,Hoạt động bán đáVND,Cho thuê tài sảnVND,CộngVND,"numeric__Hoạt động bán gỗ, thành phẩm từ gỗVND",numeric__Hoạt động bán phân bónVND,numeric__Hoạt động bán đáVND,numeric__Cho thuê tài sảnVND,numeric__CộngVND
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,38.200.000,-,10.269.410.000,4.143.436.362,14.451.046.362,38200000.0,,10269410000.0,4143436362.0,14451046362.0
Tổng doanh thu thuần từ bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần từ bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần từ bán hàng và cung cấp dịch vụ,38.200.000,-,10.269.410.000,4.143.436.362,14.451.046.362,38200000.0,,10269410000.0,4143436362.0,14451046362.0
Chi phí phân bổ,Chi phí phân bổ,Chi phí phân bổ,31.240.660.567,-,10.068.383.309,4.059.525.063,45.368.568.939,31240660567.0,,10068383309.0,4059525063.0,45368568939.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,(31.202.460.567),-,201.026.691,83.911.299,(30.917.522.577),-31202460567.0,,201026691.0,83911299.0,-30917522577.0
Các chi phí không theo bộ phận,Các chi phí không theo bộ phận,Các chi phí không theo bộ phận,,,,,256.637.658.874,,,,,256637658874.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,(287.555.181.451),,,,,-287555181451.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,237.133.547.307,,,,,237133547307.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,57.007.419.730,,,,,57007419730.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,315.496.312.086,,,,,315496312086.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,21.078.020.185,,,,,21078020185.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,-,,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp hiện hành > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,186.989.238.027,,,,,186989238027.0
Tài sản không phân bổ theo bộ phận,Chi phí thuế thu nhập doanh nghiệp hiện hành > Tài sản không phân bổ theo bộ phận,Tài sản không phân bổ theo bộ phận,,,,,2.326.194.445.035,,,,,2326194445035.0
Nợ phải trả không phân bổ theo bộ phận,Chi phí thuế thu nhập doanh nghiệp hiện hành > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,1.885.442.852.682,,,,,1885442852682.0
