row_label_raw,row_label_full,Năm 2025,"Hoạt động bán gỗ, thành phẩm từ gỗ VND",Hoạt động bán phân bón VND,Hoạt động bán đá VND,Cho thuê tài sản VND,Cộng VND,"numeric__Hoạt động bán gỗ, thành phẩm từ gỗ VND",numeric__Hoạt động bán phân bón VND,numeric__Hoạt động bán đá VND,numeric__Cho thuê tài sản VND,numeric__Cộng VND
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,6.508.000,19.370.360.000,22.122.048.000,4.431.038.091,45.929.954.091,6508000.0,19370360000.0,22122048000.0,4431038091.0,45929954091.0
Tổng doanh thu thuần từ bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần từ bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần từ bán hàng và cung cấp dịch vụ,6.508.000,19.370.360.000,22.122.048.000,4.431.038.091,45.929.954.091,6508000.0,19370360000.0,22122048000.0,4431038091.0,45929954091.0
Chi phí phân bổ,Chi phí phân bổ,Chi phí phân bổ,9.171.742.104,19.262.308.000,21.782.054.668,3.770.021.919,53.986.126.691,9171742104.0,19262308000.0,21782054668.0,3770021919.0,53986126691.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,(9.165.234.104),108.052.000,339.993.332,661.016.172,(8.056.172.600),-9165234104.0,108052000.0,339993332.0,661016172.0,-8056172600.0
Các chi phí không theo bộ phận,Các chi phí không theo bộ phận,Các chi phí không theo bộ phận,,,,,(125.848.564.740),,,,,-125848564740.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,117.792.392.140,,,,,117792392140.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,526.188.263.754,,,,,526188263754.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,110.776.857.666,,,,,110776857666.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,112.025.343,,,,,112025343.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,18.506.249.023,,,,,18506249023.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,-,,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp hiện hành > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,514.809.574.548,,,,,514809574548.0
Tài sản không phân bổ theo bộ phận,Chi phí thuế thu nhập doanh nghiệp hiện hành > Tài sản không phân bổ theo bộ phận,Tài sản không phân bổ theo bộ phận,,,,,2.872.648.955.592,,,,,2872648955592.0
Nợ phải trả không phân bổ theo bộ phận,Chi phí thuế thu nhập doanh nghiệp hiện hành > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,1.917.087.788.691,,,,,1917087788691.0
