row_label_raw,row_label_full,Chỉ tiêu,An Giang,Đồng Tháp,Địa bàn khác,Tổng cộng,An Giang_1,Đồng Tháp_1,Địa bàn khác_1,Tổng cộng_1,numeric__An Giang,numeric__Đồng Tháp,numeric__Địa bàn khác,numeric__Tổng cộng,numeric__An Giang_1,numeric__Đồng Tháp_1,numeric__Địa bàn khác_1,numeric__Tổng cộng_1
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,4.109.484.380.617,9.870.268.324.471,244.020.636.017,14.223.773.341.105,3.021.098.761.826,5.852.210.619.549,13.818.837.906,8.887.128.219.281,4109484380617.0,9870268324471.0,244020636017.0,14223773341105.0,3021098761826.0,5852210619549.0,13818837906.0,8887128219281.0
Tổng doat.h thu thuần bán hàng và cung cấp dịch vụ,Tổng doat.h thu thuần bán hàng và cung cấp dịch vụ,Tổng doat.h thu thuần bán hàng và cung cấp dịch vụ,4.109.484.380.617,9.870.268.324.471,244.020.636.017,14.223.773.341.105,3.021.098.761.826,5.852.210.619.549,13.818.837.906,8.887.128.219.281,4109484380617.0,9870268324471.0,244020636017.0,14223773341105.0,3021098761826.0,5852210619549.0,13818837906.0,8887128219281.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,335.719.025.470,966.548.067.205,66.477.941.221,1.368.745.033.896,263.389.744.401,803.960.414.229,1.372.003.492,1.068.722.162.122,335719025470.0,966548067205.0,66477941221.0,1368745033896.0,263389744401.0,803960414229.0,1372003492.0,1068722162122.0
Các chỉ phí không phân bổ theo bộ phân,Các chỉ phí không phân bổ theo bộ phân,Các chỉ phí không phân bổ theo bộ phân,,,,(488.777.098.660),,,,(386.052.098.609),,,,-488777098660.0,,,,-386052098609.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,879.967.935.236,,,,682.670.063.513,,,,879967935236.0,,,,682670063513.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,201.952.760.812,,,,369.961.118.101,,,,201952760812.0,,,,369961118101.0
Chỉ phí tài chính,Chỉ phí tài chính,Chỉ phí tài chính,,,,(275.682.838.120),,,,(266.797.763.176),,,,-275682838120.0,,,,-266797763176.0
Phần lãi hoặc lỗ trong Công ty liên doanh liên kết,Phần lãi hoặc lỗ trong Công ty liên doanh liên kết,Phần lãi hoặc lỗ trong Công ty liên doanh liên kết,,,,,,,,65.065.547.765,,,,,,,,65065547765.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,90.897.495.085,,,,476.643.723.765,,,,90897495085.0,,,,476643723765.0
Chỉ phí khác,Chỉ phí khác,Chỉ phí khác,,,,(25.395.885.583),,,,(12.008.412.636),,,,-25395885583.0,,,,-12008412636.0
Chỉ phí thuế TNDN hiện hành,Chỉ phí thuế TNDN hiện hành,Chỉ phí thuế TNDN hiện hành,,,,(43.991.472.933),,,,(113.796.822.751),,,,-43991472933.0,,,,-113796822751.0
Chỉ phí thuế TNDN hoãn lại,Chỉ phí thuế TNDN hoãn lại,Chỉ phí thuế TNDN hoãn lại,,,,(4.400.487.945),,,,(3.861.782.021),,,,-4400487945.0,,,,-3861782021.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,823.347.506.552,,,,1.197.875.672.560,,,,823347506552.0,,,,1197875672560.0
Tổng chỉ phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,Tổng chỉ phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,Tổng chỉ phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,,,,(2.945.067.188.394),,,,(129.650.543.858),,,,-2945067188394.0,,,,-129650543858.0
Tổng chỉ phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chỉ phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chỉ phí khấu hao và phân bổ chi phí trả trước dài hạn,,,,(213.115.015.078),,,,(36.323.955.318),,,,-213115015078.0,,,,-36323955318.0
