row_label_raw,row_label_full,"TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH > Chỉ tiêu","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH > Nhà cửa, vật kiến trúc","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH > Máy móc, thiết bị","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH > Phương tiện vận tải,truyền dẫn","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH > Thiết bị quản lý","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH > TSCĐ khác",Đơn vị tính: VND > Cộng,"numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH > Nhà cửa, vật kiến trúc","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH > Máy móc, thiết bị","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH > Phương tiện vận tải,truyền dẫn","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH > Thiết bị quản lý","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH > TSCĐ khác",numeric__Đơn vị tính: VND > Cộng
I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,,,,,,
1. Số dư đầu năm,I. Nguyên giá > 1. Số dư đầu năm,1. Số dư đầu năm,511.071.051.011,509.011.260.827,51.088.647.897,7.414.983.569,51.124.855.405,1.129.710.798.709,511071051011.0,509011260827.0,51088647897.0,7414983569.0,51124855405.0,1129710798709.0
2. Số tăng trong kỳ,I. Nguyên giá > 2. Số tăng trong kỳ,2. Số tăng trong kỳ,639.533.055.095,2.902.762.694.462,19.492.243.572,24.300.923.836,10.107.888.574,3.596.196.805.539,639533055095.0,2902762694462.0,19492243572.0,24300923836.0,10107888574.0,3596196805539.0
- Mua trong kỳ,I. Nguyên giá > - Mua trong kỳ,- Mua trong kỳ,356.492.360.910,1.073.637.204.117,19.023.330.574,24.300.923.836,9.390.738.574,1.482.844.558.011,356492360910.0,1073637204117.0,19023330574.0,24300923836.0,9390738574.0,1482844558011.0
- Đầu tư XDCB hoàn thành,I. Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,278.532.058.146,1.817.315.490.345,,,701.790.000,2.096.549.338.491,278532058146.0,1817315490345.0,,,701790000.0,2096549338491.0
- Tăng khác,I. Nguyên giá > - Tăng khác,- Tăng khác,4.508.636.039,11.810.000.000,468.912.998,,15.360.000,16.802.909.037,4508636039.0,11810000000.0,468912998.0,,15360000.0,16802909037.0
3. Số giảm trong kỳ,I. Nguyên giá > 3. Số giảm trong kỳ,3. Số giảm trong kỳ,18.650.090.908,37.657.246.804,408.530.000,,,56.715.867.712,18650090908.0,37657246804.0,408530000.0,,,56715867712.0
- Chuyển sang BDS đầu tư,I. Nguyên giá > - Chuyển sang BDS đầu tư,- Chuyển sang BDS đầu tư,,14.792.022.480,408.530.000,,,15.200.552.480,,14792022480.0,408530000.0,,,15200552480.0
"- Thanh lý, nhượng bán","I. Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,,,,,41.515.315.232,,,,,,41515315232.0
- Giảm khác,I. Nguyên giá > - Giảm khác,- Giảm khác,18.650.090.908,22.865.224.324,,,,,18650090908.0,22865224324.0,,,,
4. Số dư cuối kỳ,I. Nguyên giá > 4. Số dư cuối kỳ,4. Số dư cuối kỳ,1.131.954.015.198,3.374.116.708.485,70.172.361.469,31.715.907.405,61.232.743.979,4.669.191.736.536,1131954015198.0,3374116708485.0,70172361469.0,31715907405.0,61232743979.0,4669191736536.0
II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,,,,,,
1. Số dư đầu năm,II. Giá trị hao mòn luỹ kế > 1. Số dư đầu năm,1. Số dư đầu năm,96.082.171.306,212.733.762.748,26.178.260.207,3.299.992.549,7.298.162.056,345.592.348.866,96082171306.0,212733762748.0,26178260207.0,3299992549.0,7298162056.0,345592348866.0
2. Khấu hao trong kỳ,II. Giá trị hao mòn luỹ kế > 2. Khấu hao trong kỳ,2. Khấu hao trong kỳ,34.126.310.497,121.590.468.638,9.123.305.666,2.918.547.634,4.330.267.978,172.088.900.413,34126310497.0,121590468638.0,9123305666.0,2918547634.0,4330267978.0,172088900413.0
- Khấu hao trong kỳ,II. Giá trị hao mòn luỹ kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,34.126.310.497,121.590.468.638,9.123.305.666,2.918.547.634,1.231.229.414,168.989.861.849,34126310497.0,121590468638.0,9123305666.0,2918547634.0,1231229414.0,168989861849.0
- Tăng khác,II. Giá trị hao mòn luỹ kế > - Tăng khác,- Tăng khác,,,,,3.099.038.564,3.099.038.564,,,,,3099038564.0,3099038564.0
3. Giảm trong kỳ,II. Giá trị hao mòn luỹ kế > 3. Giảm trong kỳ,3. Giảm trong kỳ,1.969.356.069,12.375.915.393,111.092.761,,,14.456.364.223,1969356069.0,12375915393.0,111092761.0,,,14456364223.0
- Chuyển sang BDS đầu tư,- Chuyển sang BDS đầu tư,- Chuyển sang BDS đầu tư,,,,,,,,,,,,
"- Thanh lý, nhượng bán","- Chuyển sang BDS đầu tư > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,,111.092.761,,,111.092.761,,,111092761.0,,,111092761.0
- Giảm khác,- Chuyển sang BDS đầu tư > - Giảm khác,- Giảm khác,1.969.356.069,12.375.915.393,,,,14.345.271.462,1969356069.0,12375915393.0,,,,14345271462.0
4. Số dư cuối kỳ,- Chuyển sang BDS đầu tư > 4. Số dư cuối kỳ,4. Số dư cuối kỳ,128.239.125.734,321.948.315.993,35.190.473.112,6.218.540.183,11.628.430.034,503.224.885.056,128239125734.0,321948315993.0,35190473112.0,6218540183.0,11628430034.0,503224885056.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,,
1. Tại ngày đầu năm,III. Giá trị còn lại > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,414.988.879.705,296.277.498.079,24.910.387.690,4.114.991.020,43.826.693.349,784.118.449.843,414988879705.0,296277498079.0,24910387690.0,4114991020.0,43826693349.0,784118449843.0
2. Tại ngày cuối kỳ,III. Giá trị còn lại > 2. Tại ngày cuối kỳ,2. Tại ngày cuối kỳ,1.003.714.889.464,3.052.168.392.492,34.981.888.357,25.497.367.222,49.604.313.945,4.165.966.851.480,1003714889464.0,3052168392492.0,34981888357.0,25497367222.0,49604313945.0,4165966851480.0
