row_label_raw,row_label_full,CHI PHÍ TRẢ TRƯỚC,CHI PHÍ TRẢ TRƯỚC_1,CHI PHÍ TRẢ TRƯỚC_2,numeric__CHI PHÍ TRẢ TRƯỚC_1,numeric__CHI PHÍ TRẢ TRƯỚC_2
,,,31/12/2019,01/01/2019,,
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,6.207.677.948,3.222.837.523,6207677948.0,3222837523.0
"Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",3.633.331.681,2.693.882.276,3633331681.0,2693882276.0
Các khoản khác,Các khoản khác,Các khoản khác,2.574.346.267,528.955.247,2574346267.0,528955247.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,413.275.595.979,104.517.339.928,413275595979.0,104517339928.0
Tiền thuê đất Sa Đéc,Tiền thuê đất Sa Đéc,Tiền thuê đất Sa Đéc,52.606.426.178,53.717.829.554,52606426178.0,53717829554.0
Tiền thuê đất nhà máy năng lượng mặt trời Tịnh Biên,Tiền thuê đất nhà máy năng lượng mặt trời Tịnh Biên,Tiền thuê đất nhà máy năng lượng mặt trời Tịnh Biên,287.451.373.020,,287451373020.0,
"Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",40.995.149.296,22.565.150.529,40995149296.0,22565150529.0
Các khoản khác,Các khoản khác,Các khoản khác,32.222.647.485,28.234.359.845,32222647485.0,28234359845.0
d) Tài sản thuế thu nhập hoãn lại,d) Tài sản thuế thu nhập hoãn lại,d) Tài sản thuế thu nhập hoãn lại,4.182.884.116,7.995.635.528,4182884116.0,7995635528.0
Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,4.182.884.116,7.995.635.528,4182884116.0,7995635528.0
e) Lợi thế thương mại,e) Lợi thế thương mại,e) Lợi thế thương mại,265.653.564.036,165.970.267.727,265653564036.0,165970267727.0
Giá trị LTTM phát sinh từ việc mua Công ty con,Giá trị LTTM phát sinh từ việc mua Công ty con,Giá trị LTTM phát sinh từ việc mua Công ty con,265.653.564.036,165.970.267.727,265653564036.0,165970267727.0
Cộng,Cộng,Cộng,689.319.722.079,281.706.080.706,689319722079.0,281706080706.0
