row_label_raw,row_label_full,b) Đầu tư nắm giữ đến ngày đáo hạn,31/12/2019 > Giá gốc,31/12/2019 > Giá trị ghi số,31/12/2019,01/01/2019 > Giá gốc,01/01/2019 > Giá trị ghi số,01/01/2019,numeric__31/12/2019 > Giá gốc,numeric__31/12/2019 > Giá trị ghi số,numeric__31/12/2019,numeric__01/01/2019 > Giá gốc,numeric__01/01/2019 > Giá trị ghi số,numeric__01/01/2019
b1) Ngắn hạn,b1) Ngắn hạn,b1) Ngắn hạn,657.885.346.447,657.885.346.447,,963.626.736.414,963.626.736.414,,657885346447.0,657885346447.0,,963626736414.0,963626736414.0,
- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,657.885.346.447,657.885.346.447,,963.626.736.414,963.626.736.414,,657885346447.0,657885346447.0,,963626736414.0,963626736414.0,
b2) Dài hạn,b2) Dài hạn,b2) Dài hạn,1.145.515.000.000,1.145.515.000.000,,1.288.488.000.000,1.288.488.000.000,,1145515000000.0,1145515000000.0,,1288488000000.0,1288488000000.0,
- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,1.145.515.000.000,1.145.515.000.000,,1.288.488.000.000,1.288.488.000.000,,1145515000000.0,1145515000000.0,,1288488000000.0,1288488000000.0,
Cộng,Cộng,Cộng,1.803.400.346.447,1.803.400.346.447,,2.252.114.736.414,2.252.114.736.414,,1803400346447.0,1803400346447.0,,2252114736414.0,2252114736414.0,
c) Đầu tư vào đơn vị khác,c) Đầu tư vào đơn vị khác,c) Đầu tư vào đơn vị khác,31/12/2019,31/12/2019,31/12/2019,01/01/2019,01/01/2019,01/01/2019,,,,,,
c) Đầu tư vào đơn vị khác,c) Đầu tư vào đơn vị khác,c) Đầu tư vào đơn vị khác,Giá gốc,Giá hợp lý,Dự phòng,Giá gốc,Giá hợp lý,Dự phòng,,,,,,
,,,2.000.000.000,,(1.560.299.574),2.000.000.000,,(1.920.339.667),2000000000.0,,-1560299574.0,2000000000.0,,-1920339667.0
+ Công ty CP Bóng Đá Đồng Tháp (*),c) Đầu tư vào đơn vị khác > + Công ty CP Bóng Đá Đồng Tháp (*),+ Công ty CP Bóng Đá Đồng Tháp (*),2.000.000.000,,(1.560.299.574),2.000.000.000,,(1.920.339.667),2000000000.0,,-1560299574.0,2000000000.0,,-1920339667.0
Cộng,c) Đầu tư vào đơn vị khác > Cộng,Cộng,2.000.000.000,,(1.560.299.574),2.000.000.000,,(1.920.339.667),2000000000.0,,-1560299574.0,2000000000.0,,-1920339667.0
