row_label_raw,row_label_full,Mã số,Chí tiêu,Thuyết minh,Năm 2019,Năm 2018,numeric__Chí tiêu,numeric__Thuyết minh,numeric__Năm 2019,numeric__Năm 2018
,,,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,
01,01,01,Lợi nhuận trước thuế,,871.739.467.430,1.315.534.277.332,,,871739467430.0,1315534277332.0
01,01,01,2. Điều chỉnh cho các khoản,,,,,,,
02,01 > 02,02,- Khấu hao TSCĐ và BĐSĐT,,213.115.015.078,36.323.955.318,,,213115015078.0,36323955318.0
03,01 > 03,03,- Các khoản dự phòng,,16.280.029.045,2.406.258.064,,,16280029045.0,2406258064.0
04,01 > 04,04,- Lãi/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,,3.380.399.985,6.309.296.493,,,3380399985.0,6309296493.0
05,01 > 05,05,"- Lãi, lỗ từ hoạt động đầu tư",,(105.744.109.097),(250.162.928.294),,,-105744109097.0,-250162928294.0
06,01 > 06,06,- Chi phí lãi vay,,253.532.957.320,172.119.010.419,,,253532957320.0,172119010419.0
07,07,07,- Các khoản điều chỉnh khác,,,,,,,
08,07 > 08,08,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,1.252.303.759.761,1.282.529.869.332,,,1252303759761.0,1282529869332.0
09,07 > 09,09,"- Tăng, giảm các khoản phải thu",,692.681.630.665,(247.271.198.482),,,692681630665.0,-247271198482.0
10,07 > 10,10,"- Tăng, giảm hàng tồn kho",,(583.807.617.160),(496.307.251.280),,,-583807617160.0,-496307251280.0
11,07 > 11,11,"- Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",,104.281.744.277,204.120.384.949,,,104281744277.0,204120384949.0
12,07 > 12,12,"- Tăng, giảm chi phí trả trước",,(311.735.275.344),(43.316.574.875),,,-311735275344.0,-43316574875.0
13,07 > 13,13,"- Tăng, giảm chứng khoán kinh doanh",,,1.886.862.388,,,,1886862388.0
14,07 > 14,14,- Tiền lãi vay đã trả,,(342.121.216.167),(221.242.743.466),,,-342121216167.0,-221242743466.0
15,07 > 15,15,- Thuế thu nhập doanh nghiệp đã nộp,,(48.841.640.042),(65.277.708.330),,,-48841640042.0,-65277708330.0
16,16,16,- Tiền thu khác từ hoạt động kinh doanh,,,,,,,
17,17,17,- Tiền chi khác cho hoạt động kinh doanh,,,,,,,
20,17 > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,762.761.385.990,415.121.640.236,,,762761385990.0,415121640236.0
20,20,20,II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,
21,20 > 21,21,"- Tiền chỉ để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",,(2.945.067.188.394),(129.650.543.858),,,-2945067188394.0,-129650543858.0
22,20 > 22,22,"- Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,8.883.124.264,46.737.195.833,,,8883124264.0,46737195833.0
23,20 > 23,23,"- Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(1.338.063.246.447),(804.796.749.784),,,-1338063246447.0,-804796749784.0
24,20 > 24,24,"- Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,1.717.027.636.414,562.006.474.112,,,1717027636414.0,562006474112.0
25,20 > 25,25,- Tiền chi đầu tư góp vốn vào đơn vị khác,,(402.500.000.000),(327.449.703.912),,,-402500000000.0,-327449703912.0
26,20 > 26,26,- Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,335.073.000.000,,,,335073000000.0
27,20 > 27,27,"- Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,165.519.082.781,130.673.004.035,,,165519082781.0,130673004035.0
30,20 > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,(2.794.200.591.382),(187.407.323.574),,,-2794200591382.0,-187407323574.0
