row_label_raw,row_label_full,col_0,Năm 2019,Năm 2019_1,Năm 2019_2,Năm 2018,Năm 2018_1,Năm 2018_2,numeric__Năm 2019,numeric__Năm 2019_1,numeric__Năm 2019_2,numeric__Năm 2018,numeric__Năm 2018_1,numeric__Năm 2018_2
,,,Tổng khoản thanh toán tiền thuê tài chính,Trả tiền lãi thuê,Trả nợ gốc,Tổng khoản thanh toán tiền thuê tài chính,Trả tiền lãi thuê,Trả nợ gốc,,,,,,
Thời hạn,Thời hạn,Thời hạn,,,,,,,,,,,,
Từ 1 năm trở xuống,Thời hạn > Từ 1 năm trở xuống,Từ 1 năm trở xuống,52.662.338.294,12.781.541.579,39.880.796.715,56.800.695.902,849.840.212,55.950.855.690,52662338294.0,12781541579.0,39880796715.0,56800695902.0,849840212.0,55950855690.0
Trên 1 năm đến 5 năm,Thời hạn > Trên 1 năm đến 5 năm,Trên 1 năm đến 5 năm,14.783.953.993,2.949.617.718,11.834.336.275,56.889.766.549,16.325.302.205,40.564.464.344,14783953993.0,2949617718.0,11834336275.0,56889766549.0,16325302205.0,40564464344.0
Trên 5 năm,Trên 5 năm,Trên 5 năm,,,,,,,,,,,,
Cộng,Trên 5 năm > Cộng,Cộng,67.446.292.287,15.731.159.297,51.715.132.990,113.690.462.451,17.175.142.417,96.515.320.034,67446292287.0,15731159297.0,51715132990.0,113690462451.0,17175142417.0,96515320034.0
d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,,,31/12/2019,31/12/2019,01/01/2019,01/01/2019,,,,,,
d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,,,Giá đánh giá lại,Giá gốc,Giá đánh giá lại,Giá gốc,,,,,,
Ngắn hạn,d) Giá trị nợ thuê tài chính > Ngắn hạn,Ngắn hạn,,,47.574.227.717,47.574.227.717,44.164.001.702,44.164.001.702,,,47574227717.0,47574227717.0,44164001702.0,44164001702.0
Gốc nợ thuê tài chính,d) Giá trị nợ thuê tài chính > Gốc nợ thuê tài chính,Gốc nợ thuê tài chính,,,47.574.227.717,47.574.227.717,44.164.001.702,44.164.001.702,,,47574227717.0,47574227717.0,44164001702.0,44164001702.0
Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,,,,,,,,,,,,
Dài hạn,Lãi thuê tài chính phải trả > Dài hạn,Dài hạn,,,101.199.257.949,101.199.257.949,131.992.989.585,131.992.989.585,,,101199257949.0,101199257949.0,131992989585.0,131992989585.0
Gốc nợ thuê tài chính,Lãi thuê tài chính phải trả > Gốc nợ thuê tài chính,Gốc nợ thuê tài chính,,,101.199.257.949,101.199.257.949,131.992.989.585,131.992.989.585,,,101199257949.0,101199257949.0,131992989585.0,131992989585.0
Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,,,,,,,,,,,,
Cộng,Lãi thuê tài chính phải trả > Cộng,Cộng,,,148.773.485.666,148.773.485.666,176.156.991.287,176.156.991.287,,,148773485666.0,148773485666.0,176156991287.0,176156991287.0
