row_label_raw,row_label_full,col_0,31/12/2019 > Giá trị,31/12/2019 > Lãi suất,31/12/2019 > Kỳ hạn,01/01/2019 > Giá trị,01/01/2019 > Lãi suất,01/01/2019 > Kỳ hạn,numeric__31/12/2019 > Giá trị,numeric__31/12/2019 > Lãi suất,numeric__31/12/2019 > Kỳ hạn,numeric__01/01/2019 > Giá trị,numeric__01/01/2019 > Lãi suất,numeric__01/01/2019 > Kỳ hạn
+ Ngân hạn,+ Ngân hạn,+ Ngân hạn,,,,,,,,,,,,
+ Dài hạn,+ Ngân hạn > + Dài hạn,+ Dài hạn,,,,150.000.000.000,,,,,,150000000000.0,,
Loại phát hành theo mênh giá,+ Ngân hạn > Loại phát hành theo mênh giá,Loại phát hành theo mênh giá,,,36 tháng,150.000.000.000,"10,4%/năm",36 tháng,,,,150000000000.0,,
Cộng,+ Ngân hạn > Cộng,Cộng,,,,150.000.000.000,,,,,,150000000000.0,,
PHẢI TRẢ NGƯỜI BÁN,PHẢI TRẢ NGƯỜI BÁN,PHẢI TRẢ NGƯỜI BÁN,PHẢI TRẢ NGƯỜI BÁN,PHẢI TRẢ NGƯỜI BÁN,31/12/2019,31/12/2019,01/01/2019,01/01/2019,,,,,,
PHẢI TRẢ NGƯỜI BÁN,PHẢI TRẢ NGƯỜI BÁN,PHẢI TRẢ NGƯỜI BÁN,PHẢI TRẢ NGƯỜI BÁN,PHẢI TRẢ NGƯỜI BÁN,Giá trị,Số có khả năng trả nợ,Giá trị,Số có khả năng trả nợ,,,,,,
a) Ngân hạn,PHẢI TRẢ NGƯỜI BÁN > a) Ngân hạn,a) Ngân hạn,a) Ngân hạn,a) Ngân hạn,1.387.412.856.438,1.387.412.856.438,680.417.639.464,680.417.639.464,,,1387412856438.0,1387412856438.0,680417639464.0,680417639464.0
+ Công ty TNHH MTV Chế Biển Bột Cá Kim Son,PHẢI TRẢ NGƯỜI BÁN > + Công ty TNHH MTV Chế Biển Bột Cá Kim Son,+ Công ty TNHH MTV Chế Biển Bột Cá Kim Son,+ Công ty TNHH MTV Chế Biển Bột Cá Kim Son,+ Công ty TNHH MTV Chế Biển Bột Cá Kim Son,29.355.856.400,29.355.856.400,,,,,29355856400.0,29355856400.0,,
+ Công ty TNHH TM Xuất Nhập Khẩu Khai Anh - Bình Thuận,PHẢI TRẢ NGƯỜI BÁN > + Công ty TNHH TM Xuất Nhập Khẩu Khai Anh - Bình Thuận,+ Công ty TNHH TM Xuất Nhập Khẩu Khai Anh - Bình Thuận,+ Công ty TNHH TM Xuất Nhập Khẩu Khai Anh - Bình Thuận,+ Công ty TNHH TM Xuất Nhập Khẩu Khai Anh - Bình Thuận,41.394.107.452,41.394.107.452,,,,,41394107452.0,41394107452.0,,
+ Công ty Cổ phần Hum,PHẢI TRẢ NGƯỜI BÁN > + Công ty Cổ phần Hum,+ Công ty Cổ phần Hum,+ Công ty Cổ phần Hum,+ Công ty Cổ phần Hum,39.581.174.733,39.581.174.733,,,,,39581174733.0,39581174733.0,,
+ Công ty TNHH TM DV Sông Hậu,PHẢI TRẢ NGƯỜI BÁN > + Công ty TNHH TM DV Sông Hậu,+ Công ty TNHH TM DV Sông Hậu,+ Công ty TNHH TM DV Sông Hậu,+ Công ty TNHH TM DV Sông Hậu,21.370.732.445,21.370.732.445,,,,,21370732445.0,21370732445.0,,
+ Công ty Andritz Feed & Biofuel A/S,+ Công ty Andritz Feed & Biofuel A/S,+ Công ty Andritz Feed & Biofuel A/S,+ Công ty Andritz Feed & Biofuel A/S,+ Công ty Andritz Feed & Biofuel A/S,,,,,,,,,,
+ Công ty TNHH Trường Thắng,+ Công ty Andritz Feed & Biofuel A/S > + Công ty TNHH Trường Thắng,+ Công ty TNHH Trường Thắng,+ Công ty TNHH Trường Thắng,+ Công ty TNHH Trường Thắng,2.362.998.100,2.362.998.100,,,,,2362998100.0,2362998100.0,,
+ Công ty CP Đầu Tư Xây dựng Số 10 IDICO,+ Công ty Andritz Feed & Biofuel A/S > + Công ty CP Đầu Tư Xây dựng Số 10 IDICO,+ Công ty CP Đầu Tư Xây dựng Số 10 IDICO,+ Công ty CP Đầu Tư Xây dựng Số 10 IDICO,+ Công ty CP Đầu Tư Xây dựng Số 10 IDICO,311.963.352,311.963.352,,,,,311963352.0,311963352.0,,
+ Công ty TNHH MTV Kiểm Định Và Đầu Tư Toàn Cầu ?,+ Công ty Andritz Feed & Biofuel A/S > + Công ty TNHH MTV Kiểm Định Và Đầu Tư Toàn Cầu ?,+ Công ty TNHH MTV Kiểm Định Và Đầu Tư Toàn Cầu ?,+ Công ty TNHH MTV Kiểm Định Và Đầu Tư Toàn Cầu ?,+ Công ty TNHH MTV Kiểm Định Và Đầu Tư Toàn Cầu ?,44.648.605.297,44.648.605.297,,,,,44648605297.0,44648605297.0,,
+ Công ty TNHH Jiangsu Muayang Holdings ?,+ Công ty TNHH Jiangsu Muayang Holdings ?,+ Công ty TNHH Jiangsu Muayang Holdings ?,+ Công ty TNHH Jiangsu Muayang Holdings ?,+ Công ty TNHH Jiangsu Muayang Holdings ?,,,,,,,,,,
+ Công ty STERLING AND WILSON PRIVATE LIMITED,+ Công ty TNHH Jiangsu Muayang Holdings ? > + Công ty STERLING AND WILSON PRIVATE LIMITED,+ Công ty STERLING AND WILSON PRIVATE LIMITED,+ Công ty STERLING AND WILSON PRIVATE LIMITED,+ Công ty STERLING AND WILSON PRIVATE LIMITED,81.881.738.726,81.881.738.726,,,,,81881738726.0,81881738726.0,,
+ Công ty TNHH MTV Toàn Cầu ?,+ Công ty TNHH Jiangsu Muayang Holdings ? > + Công ty TNHH MTV Toàn Cầu ?,+ Công ty TNHH MTV Toàn Cầu ?,+ Công ty TNHH MTV Toàn Cầu ?,+ Công ty TNHH MTV Toàn Cầu ?,,,73.265.162.860,73.265.162.860,,,,,73265162860.0,73265162860.0
+ Công ty CP Xuất Khẩu Thủy Hải Sản Sạch,+ Công ty TNHH Jiangsu Muayang Holdings ? > + Công ty CP Xuất Khẩu Thủy Hải Sản Sạch,+ Công ty CP Xuất Khẩu Thủy Hải Sản Sạch,+ Công ty CP Xuất Khẩu Thủy Hải Sản Sạch,+ Công ty CP Xuất Khẩu Thủy Hải Sản Sạch,105.277.242.815,105.277.242.815,,,,,105277242815.0,105277242815.0,,
+ Công ty TNHH JIANGSU MUYANG HOLDINGS ?,+ Công ty TNHH Jiangsu Muayang Holdings ? > + Công ty TNHH JIANGSU MUYANG HOLDINGS ?,+ Công ty TNHH JIANGSU MUYANG HOLDINGS ?,+ Công ty TNHH JIANGSU MUYANG HOLDINGS ?,+ Công ty TNHH JIANGSU MUYANG HOLDINGS ?,,,38.941.210.000,38.941.210.000,,,,,38941210000.0,38941210000.0
