row_label_raw,row_label_full,Tiền và các khoản tương đương tiền,1.305.426,2.835.053,numeric__1.305.426,numeric__2.835.053
Phải thu khách hàng và các khoản phải thu khác,Phải thu khách hàng và các khoản phải thu khác,Phải thu khách hàng và các khoản phải thu khác,13.854.669,13.279.680,13854669.0,13279680.0
Phải trả cho người bán và các khoản phải trả khác,Phải trả cho người bán và các khoản phải trả khác,Phải trả cho người bán và các khoản phải trả khác,3.445.351,(5.090.775),3445351.0,-5090775.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,(55.184.398),(29.832.955),-55184398.0,-29832955.0
Tài sản/(Nợ phải trả) thuần có gốc ngoại tệ,Tài sản/(Nợ phải trả) thuần có gốc ngoại tệ,Tài sản/(Nợ phải trả) thuần có gốc ngoại tệ,(36.578.951),(18.810.997),-36578951.0,-18810997.0
