row_label_raw,row_label_full,col_0,Giá trị số sách > 31/12/2019 > Giá trị,Giá trị số sách > 31/12/2019 > Dự phòng,Giá trị số sách > 01/01/2019 > Giá trị,Giá trị số sách > 01/01/2019 > Dự phòng,Giá trị hợp lý > 31/12/2019,Giá trị hợp lý > 01/01/2019,numeric__Giá trị số sách > 31/12/2019 > Giá trị,numeric__Giá trị số sách > 31/12/2019 > Dự phòng,numeric__Giá trị số sách > 01/01/2019 > Giá trị,numeric__Giá trị số sách > 01/01/2019 > Dự phòng,numeric__Giá trị hợp lý > 31/12/2019,numeric__Giá trị hợp lý > 01/01/2019
Tải sản tài chính,Tải sản tài chính,Tải sản tài chính,,,,,,,,,,,,
Tiền và các khoản tương đương tiền,Tải sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,822.987.169.585,,502.270.779.111,,822.987.169.585,502.270.779.111,822987169585.0,,502270779111.0,,822987169585.0,502270779111.0
Phải thu khách hàng,Tải sản tài chính > Phải thu khách hàng,Phải thu khách hàng,1.402.608.381.286,(67.921.874.061),1.222.578.432.329,(56.922.290.746),1.334.686.507.225,1.165.656.141.583,1402608381286.0,-67921874061.0,1222578432329.0,-56922290746.0,1334686507225.0,1165656141583.0
Trả trước cho người bán,Tải sản tài chính > Trả trước cho người bán,Trả trước cho người bán,1.221.622.128.381,,1.511.965.039.516,,1.221.622.128.381,1.511.965.039.516,1221622128381.0,,1511965039516.0,,1221622128381.0,1511965039516.0
Các khoản phải thu khác,Tải sản tài chính > Các khoản phải thu khác,Các khoản phải thu khác,481.755.501.606,,461.214.277.418,(528.000.000),481.755.501.606,460.686.277.418,481755501606.0,,461214277418.0,-528000000.0,481755501606.0,460686277418.0
Đầu tư tài chính ngắn hạn,Tải sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,657.885.346.447,,963.626.736.414,,657.885.346.447,963.626.736.414,657885346447.0,,963626736414.0,,657885346447.0,963626736414.0
Đầu tư tài chính dài hạn,Tải sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,1.147.515.000.000,(1.560.299.574),1.290.488.000.000,(1.920.339.667),1.145.954.700.426,1.288.567.660.333,1147515000000.0,-1560299574.0,1290488000000.0,-1920339667.0,1145954700426.0,1288567660333.0
Cộng,Tải sản tài chính > Cộng,Cộng,5.734.373.527.305,(69.482.173.635),5.952.143.264.788,(59.370.630.413),5.664.891.353.670,5.892.772.634.375,5734373527305.0,-69482173635.0,5952143264788.0,-59370630413.0,5664891353670.0,5892772634375.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,,,,,,,
Phải trả cho người bán,Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,1.387.412.856.438,,680.417.639.464,,1.387.412.856.438,680.417.639.464,1387412856438.0,,680417639464.0,,1387412856438.0,680417639464.0
Người mua trả tiền trước,Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,313.882.115.348,,716.616.730.344,,313.882.115.348,716.616.730.344,313882115348.0,,716616730344.0,,313882115348.0,716616730344.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,7.172.719.319.239,,4.503.220.702.510,,7.172.719.319.239,4.503.220.702.510,7172719319239.0,,4503220702510.0,,7172719319239.0,4503220702510.0
Phải trả người lao động,Nợ phải trả tài chính > Phải trả người lao động,Phải trả người lao động,47.708.504.774,,46.720.924.229,,47.708.504.774,46.720.924.229,47708504774.0,,46720924229.0,,47708504774.0,46720924229.0
Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,,,,,,,,,,,,
Các khoản phải trả khác,Trái phiếu chuyển đổi > Các khoản phải trả khác,Các khoản phải trả khác,247.496.527.143,,104.824.275.256,,247.496.527.143,104.824.275.256,247496527143.0,,104824275256.0,,247496527143.0,104824275256.0
Cộng,Trái phiếu chuyển đổi > Cộng,Cộng,9.169.219.322.942,,6.051.800.271.803,,9.169.219.322.942,6.051.800.271.803,9169219322942.0,,6051800271803.0,,9169219322942.0,6051800271803.0
