row_label_raw,row_label_full,Khoản mục,Số đầu kỳ,Tăng trong kỳ,Giảm trong kỳ,Số cuối kỳ,numeric__Số đầu kỳ,numeric__Tăng trong kỳ,numeric__Giảm trong kỳ,numeric__Số cuối kỳ
a) BĐS đầu tư cho thuê,a) BĐS đầu tư cho thuê,a) BĐS đầu tư cho thuê,a) BĐS đầu tư cho thuê,a) BĐS đầu tư cho thuê,a) BĐS đầu tư cho thuê,a) BĐS đầu tư cho thuê,,,,
Nguyên giá,a) BĐS đầu tư cho thuê > Nguyên giá,Nguyên giá,294.316.880.332,30.270.381.596,11.256.965.908,313.330.296.020,294316880332.0,30270381596.0,11256965908.0,313330296020.0
- Quyền sử dụng đất,a) BĐS đầu tư cho thuê > - Quyền sử dụng đất,- Quyền sử dụng đất,65.240.590.451,,,65.240.590.451,65240590451.0,,,65240590451.0
- Nhà,a) BĐS đầu tư cho thuê > - Nhà,- Nhà,229.076.289.881,30.270.381.596,11.256.965.908,248.089.705.569,229076289881.0,30270381596.0,11256965908.0,248089705569.0
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,,,,,,,,
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,,,,,,,,
Giá trị hao mòn lũy kế,- Cơ sở hạ tầng > Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,53.677.604.610,22.257.543.191,3.735.419.020,72.199.728.781,53677604610.0,22257543191.0,3735419020.0,72199728781.0
- Quyền sử dụng đất,- Cơ sở hạ tầng > - Quyền sử dụng đất,- Quyền sử dụng đất,1.566.253.170,392.211.852,,1.958.465.022,1566253170.0,392211852.0,,1958465022.0
- Nhà,- Cơ sở hạ tầng > - Nhà,- Nhà,52.111.351.440,21.865.331.339,3.735.419.020,70.241.263.759,52111351440.0,21865331339.0,3735419020.0,70241263759.0
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,,,,,,,,
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,,,,,,,,
Giá trị còn lại,- Cơ sở hạ tầng > Giá trị còn lại,Giá trị còn lại,240.639.275.722,,,241.130.567.239,240639275722.0,,,241130567239.0
- Quyền sử dụng đất,- Cơ sở hạ tầng > - Quyền sử dụng đất,- Quyền sử dụng đất,63.674.337.281,,,63.282.125.429,63674337281.0,,,63282125429.0
- Nhà,- Cơ sở hạ tầng > - Nhà,- Nhà,176.964.938.441,,,177.848.441.810,176964938441.0,,,177848441810.0
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,,,,,,,,
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,,,,,,,,
b) BĐS đầu tư nằm giữ chờ tăng giá,b) BĐS đầu tư nằm giữ chờ tăng giá,b) BĐS đầu tư nằm giữ chờ tăng giá,b) BĐS đầu tư nằm giữ chờ tăng giá,b) BĐS đầu tư nằm giữ chờ tăng giá,b) BĐS đầu tư nằm giữ chờ tăng giá,b) BĐS đầu tư nằm giữ chờ tăng giá,,,,
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,,,,,,,,
- Nhà,- Nhà,- Nhà,,,,,,,,
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,,,,,,,,
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,,,,,,,,
Tồn thất do suy giảm giá trị,Tồn thất do suy giảm giá trị,Tồn thất do suy giảm giá trị,,,,,,,,
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,,,,,,,,
- Nhà,- Nhà,- Nhà,,,,,,,,
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,,,,,,,,
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,,,,,,,,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,,,,,,,,
- Nhà,- Nhà,- Nhà,,,,,,,,
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,,,,,,,,
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,,,,,,,,
