row_label_raw,row_label_full,"TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH VÔ HÌNH","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH VÔ HÌNH_1","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH VÔ HÌNH_2","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH VÔ HÌNH_3","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH VÔ HÌNH_4","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH VÔ HÌNH_5","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH VÔ HÌNH_6","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH VÔ HÌNH_1","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH VÔ HÌNH_2","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH VÔ HÌNH_3","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH VÔ HÌNH_4","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH VÔ HÌNH_5","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH VÔ HÌNH_6"
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Quyền sử dụng đất,Quyền phát hành,"Bản quyền, bằng sáng chế",Phần mềm vi tính,TSCĐ vô hình khác,Đơn vị tính: VND,,,,,,
I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,,,,,,
1. Số dư đầu kỳ,I. Nguyên giá > 1. Số dư đầu kỳ,1. Số dư đầu kỳ,1.285.681.354.124,,,939.000.000,61.240.000,1.286.681.594.124,1285681354124.0,,,939000000.0,61240000.0,1286681594124.0
2. Số tăng trong kỳ,I. Nguyên giá > 2. Số tăng trong kỳ,2. Số tăng trong kỳ,44.715.917.024,,,235.000.000,,44.950.917.024,44715917024.0,,,235000000.0,,44950917024.0
- Mua trong kỳ,I. Nguyên giá > - Mua trong kỳ,- Mua trong kỳ,44.715.917.024,,,235.000.000,,44.950.917.024,44715917024.0,,,235000000.0,,44950917024.0
- Tạo ra từ nội bộ DN,- Tạo ra từ nội bộ DN,- Tạo ra từ nội bộ DN,,,,,,,,,,,,
- Tăng khác,- Tăng khác,- Tăng khác,,,,,,,,,,,,
3. Số giảm trong kỳ,3. Số giảm trong kỳ,3. Số giảm trong kỳ,3. Số giảm trong kỳ,3. Số giảm trong kỳ,3. Số giảm trong kỳ,3. Số giảm trong kỳ,3. Số giảm trong kỳ,3. Số giảm trong kỳ,,,,,,
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,,,,,,,,,,,
- Chuyên sang Bất động sản đầu tư,- Chuyên sang Bất động sản đầu tư,- Chuyên sang Bất động sản đầu tư,,,,,,,,,,,,
4. Số dư cuối kỳ,- Chuyên sang Bất động sản đầu tư > 4. Số dư cuối kỳ,4. Số dư cuối kỳ,1.330.397.271.148,,,1.174.000.000,61.240.000,1.331.632.511.148,1330397271148.0,,,1174000000.0,61240000.0,1331632511148.0
II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,,,,,,
1. Số dư đầu kỳ,II. Giá trị hao mòn luỹ kế > 1. Số dư đầu kỳ,1. Số dư đầu kỳ,23.238.182.412,,,518.030.077,13.949.115,23.770.161.604,23238182412.0,,,518030077.0,13949115.0,23770161604.0
2. Khấu hao trong kỳ,II. Giá trị hao mòn luỹ kế > 2. Khấu hao trong kỳ,2. Khấu hao trong kỳ,20.091.300.897,,,204.262.396,12.248.004,20.307.811.297,20091300897.0,,,204262396.0,12248004.0,20307811297.0
- Khấu hao trong kỳ,II. Giá trị hao mòn luỹ kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,3.088.838.016,,,204.262.396,12.248.004,3.305.348.416,3088838016.0,,,204262396.0,12248004.0,3305348416.0
- Tăng khác,II. Giá trị hao mòn luỹ kế > - Tăng khác,- Tăng khác,17.002.462.881,,,,,17.002.462.881,17002462881.0,,,,,17002462881.0
3. Giảm trong kỳ,3. Giảm trong kỳ,3. Giảm trong kỳ,3. Giảm trong kỳ,3. Giảm trong kỳ,3. Giảm trong kỳ,3. Giảm trong kỳ,3. Giảm trong kỳ,3. Giảm trong kỳ,,,,,,
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,,,,,,,,,,,
- Chuyên sang Bất động sản đầu tư,- Chuyên sang Bất động sản đầu tư,- Chuyên sang Bất động sản đầu tư,,,,,,,,,,,,
4. Số dư cuối kỳ,- Chuyên sang Bất động sản đầu tư > 4. Số dư cuối kỳ,4. Số dư cuối kỳ,43.329.483.309,,,722.292.473,26.197.119,44.077.972.901,43329483309.0,,,722292473.0,26197119.0,44077972901.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,,
1. Tại ngày đầu kỳ,III. Giá trị còn lại > 1. Tại ngày đầu kỳ,1. Tại ngày đầu kỳ,1.262.443.171.712,,,420.969.923,47.290.885,1.262.911.432.520,1262443171712.0,,,420969923.0,47290885.0,1262911432520.0
2. Tại ngày cuối kỳ,III. Giá trị còn lại > 2. Tại ngày cuối kỳ,2. Tại ngày cuối kỳ,1.287.067.787.839,,,451.707.527,35.042.881,1.287.554.538.247,1287067787839.0,,,451707527.0,35042881.0,1287554538247.0
