row_label_raw,row_label_full,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2019 Đơn vị tính: VND > Chỉ tiêu,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2019 Đơn vị tính: VND > 31/12/2019 > An Giang,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2019 Đơn vị tính: VND > 31/12/2019 > Đồng Tháp,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2019 Đơn vị tính: VND > 31/12/2019 > Địa bàn khác,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2019 Đơn vị tính: VND > 31/12/2019 > Tổng cộng,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2019 Đơn vị tính: VND > 01/01/2019 > An Giang,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2019 Đơn vị tính: VND > 01/01/2019 > Đồng Tháp,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2019 Đơn vị tính: VND > 01/01/2019 > Địa bàn khác,BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2019 Đơn vị tính: VND > 01/01/2019 > Tổng cộng,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2019 Đơn vị tính: VND > 31/12/2019 > An Giang,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2019 Đơn vị tính: VND > 31/12/2019 > Đồng Tháp,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2019 Đơn vị tính: VND > 31/12/2019 > Địa bàn khác,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2019 Đơn vị tính: VND > 31/12/2019 > Tổng cộng,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2019 Đơn vị tính: VND > 01/01/2019 > An Giang,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2019 Đơn vị tính: VND > 01/01/2019 > Đồng Tháp,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2019 Đơn vị tính: VND > 01/01/2019 > Địa bàn khác,numeric__BẢN THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT Năm 2019 Đơn vị tính: VND > 01/01/2019 > Tổng cộng
Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,5.598.979.673.159,8.653.251.346.842,304.767.684.171,14.556.998.704.172,3.895.352.772.027,7.591.873.742.387,428.612.382.501,11.915.838.896.915,5598979673159.0,8653251346842.0,304767684171.0,14556998704172.0,3895352772027.0,7591873742387.0,428612382501.0,11915838896915.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,,1.039.312.991.021,,,,59.620.890.895,,,,1039312991021.0,,,,59620890895.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,5.598.979.673.159,8.653.251.346.842,304.767.684.171,15.596.311.695.193,3.895.352.772.027,7.591.873.742.387,428.612.382.501,11.975.459.787.810,5598979673159.0,8653251346842.0,304767684171.0,15596311695193.0,3895352772027.0,7591873742387.0,428612382501.0,11975459787810.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,4.110.977.628.658,4.317.351.097.066,686.753.260.590,9.115.081.986.314,340.462.702.951,1.458.598.864.543,312.714.943.701,2.111.776.511.195,4110977628658.0,4317351097066.0,686753260590.0,9115081986314.0,340462702951.0,1458598864543.0,312714943701.0,2111776511195.0
Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,,,,179.357.295.107,,,,4.126.290.520.395,,,,179357295107.0,,,,4126290520395.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,4.110.977.628.658,4.317.351.097.066,686.753.260.590,9.294.439.281.421,340.462.702.951,1.458.598.864.543,312.714.943.701,6.238.067.031.590,4110977628658.0,4317351097066.0,686753260590.0,9294439281421.0,340462702951.0,1458598864543.0,312714943701.0,6238067031590.0
b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh,,,,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Điện mặt trời,Bất động sản,Xây dựng,Thương mại,Doanh thu khác,Tổng,,,,,,,,,,
Năm 2019,Năm 2019,Năm 2019,,,,,,,,,,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm 2019 > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,226.916.585.047,609.813.143.633,138.538.314.009,2.874.461.704.479,10.374.043.593.937,14.223.773.341.105,,,226916585047.0,609813143633.0,138538314009.0,2874461704479.0,10374043593937.0,14223773341105.0,,
Tài sản bộ phận,Năm 2019 > Tài sản bộ phận,Tài sản bộ phận,3.241.756.299.104,1.365.875.301.754,402.158.408.741,802.186.729.304,9.784.334.956.290,15.596.311.695.193,,,3241756299104.0,1365875301754.0,402158408741.0,802186729304.0,9784334956290.0,15596311695193.0,,
Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,Năm 2019 > Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,,,,,,(2.945.067.188.394),,,,,,,,-2945067188394.0,,
Năm 2018,Năm 2018,Năm 2018,,,,,,,,,,,,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Điện mặt trời,Bất động sản,Xây dựng,Thương mại,Doanh thu khác,Tổng,,,,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Chỉ tiêu > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,,372.512.248.005,80.644.044.449,1.542.162.877.812,6.891.809.049.015,8.887.128.219.281,,,,372512248005.0,80644044449.0,1542162877812.0,6891809049015.0,8887128219281.0,,
Tài sản bộ phận,Chỉ tiêu > Tài sản bộ phận,Tài sản bộ phận,,3.201.926.183.787,507.715.526.225,868.456.695.557,6.438.960.306.820,11.017.058.712.389,,,,3201926183787.0,507715526225.0,868456695557.0,6438960306820.0,11017058712389.0,,
Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,Chỉ tiêu > Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,,,,,,(129.650.543.858),,,,,,,,-129650543858.0,,
