row_label_raw,row_label_full,col_0,Năm 2019,numeric__Năm 2019
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",7.537.612.638.796,7537612638796.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,539.036.417.989,539036417989.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,164.170.815.435,164170815435.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,344.158.590.429,344158590429.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,237.514.304.154,237514304154.0
Cộng,Cộng,Cộng,8.822.492.766.803,8822492766803.0
