row_label_raw,row_label_full,col_0,Vốn góp của CSH,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Các quỹ thuộc vốn chủ sở hữu (*),Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn góp của CSH,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Các quỹ thuộc vốn chủ sở hữu (*),numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
Số dư đầu kỳ trước,Số dư đầu kỳ trước,Số dư đầu kỳ trước,2.419.338.530.000,45.104.200.000,,,71.328.360.803,240.370.092.834,65.363.642.380,2.841.504.826.017,2419338530000.0,45104200000.0,,,71328360803.0,240370092834.0,65363642380.0,2841504826017.0
Tăng vốn trong kỳ trước,Tăng vốn trong kỳ trước,Tăng vốn trong kỳ trước,,,,,,,,,,,,,,,,
Lợi ích cổ đông không kiểm soát,Tăng vốn trong kỳ trước > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,,,,,,,68.613.028.700,68.613.028.700,,,,,,,68613028700.0,68613028700.0
Lãi trong kỳ trước,Tăng vốn trong kỳ trước > Lãi trong kỳ trước,Lãi trong kỳ trước,,,,,,1.038.543.511.315,159.332.161.245,1.197.875.672.560,,,,,,1038543511315.0,159332161245.0,1197875672560.0
Tăng khác,Tăng vốn trong kỳ trước > Tăng khác,Tăng khác,,,97.609.361.300,,519.476.815,,1.796.425.479.613,1.894.554.317.728,,,97609361300.0,,519476815.0,,1796425479613.0,1894554317728.0
Trích quỹ từ lợi nhuận,Tăng vốn trong kỳ trước > Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,,13.936.949.940,(17.421.187.425),,(3.484.237.485),,,,,13936949940.0,-17421187425.0,,-3484237485.0
Chia cổ tức,Tăng vốn trong kỳ trước > Chia cổ tức,Chia cổ tức,,,,,,(261.046.851.300),,(261.046.851.300),,,,,,-261046851300.0,,-261046851300.0
Giảm khác,Tăng vốn trong kỳ trước > Giảm khác,Giảm khác,,,,,,(624.000.000),,(624.000.000),,,,,,-624000000.0,,-624000000.0
Số dư đầu kỳ này,Tăng vốn trong kỳ trước > Số dư đầu kỳ này,Số dư đầu kỳ này,2.419.338.530.000,45.104.200.000,97.609.361.300,,85.784.787.558,999.821.565.424,2.089.734.311.938,5.737.392.756.220,2419338530000.0,45104200000.0,97609361300.0,,85784787558.0,999821565424.0,2089734311938.0,5737392756220.0
Tăng vốn trong kỳ này,Tăng vốn trong kỳ trước > Tăng vốn trong kỳ này,Tăng vốn trong kỳ này,169.339.960.000,,,,,,,169.339.960.000,169339960000.0,,,,,,,169339960000.0
Lãi trong kỳ này,Tăng vốn trong kỳ trước > Lãi trong kỳ này,Lãi trong kỳ này,,,,,,636.924.897.856,186.422.608.696,823.347.506.552,,,,,,636924897856.0,186422608696.0,823347506552.0
Tăng do trích từ lợi nhuận,Tăng vốn trong kỳ trước > Tăng do trích từ lợi nhuận,Tăng do trích từ lợi nhuận,,,,,14.298.454.088,,,14.298.454.088,,,,,14298454088.0,,,14298454088.0
Tăng khác,Tăng vốn trong kỳ trước > Tăng khác,Tăng khác,,,169.463.914.000,,,,,169.463.914.000,,,169463914000.0,,,,,169463914000.0
Trích quỹ từ lợi nhuận,Tăng vốn trong kỳ trước > Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,,,(14.298.454.088),,(14.298.454.088),,,,,,-14298454088.0,,-14298454088.0
Chia cổ tức,Tăng vốn trong kỳ trước > Chia cổ tức,Chia cổ tức,,,,,,(428.207.809.000),,(428.207.809.000),,,,,,-428207809000.0,,-428207809000.0
Giảm khác,Tăng vốn trong kỳ trước > Giảm khác,Giảm khác,,,,,,(169.463.914.000),,(169.463.914.000),,,,,,-169463914000.0,,-169463914000.0
Số dư cuối kỳ này,Tăng vốn trong kỳ trước > Số dư cuối kỳ này,Số dư cuối kỳ này,2.588.678.490.000,45.104.200.000,267.073.275.300,,100.083.241.646,1.024.776.286.192,2.276.156.920.634,6.301.872.413.772,2588678490000.0,45104200000.0,267073275300.0,,100083241646.0,1024776286192.0,2276156920634.0,6301872413772.0
