row_label_raw,row_label_full,Năm 2019,Năm 2018,numeric__Năm 2018
2.964.067.152.515,2.964.067.152.515,2.964.067.152.515,2.339.986.120.049,2339986120049.0
468.062.311.566,468.062.311.566,468.062.311.566,281.404.033.594,281404033594.0
164.708.963.219,164.708.963.219,164.708.963.219,123.807.182.025,123807182025.0
132.337.327.997,132.337.327.997,132.337.327.997,43.510.549.086,43510549086.0
2.749.925.964.743,2.749.925.964.743,2.749.925.964.743,1.450.704.940.151,1450704940151.0
6.321.127.889.125,6.321.127.889.125,6.321.127.889.125,3.554.588.115.100,3554588115100.0
51.308.724.323,51.308.724.323,51.308.724.323,,
12.535.220.999,51.308.724.323 > 12.535.220.999,12.535.220.999,7.768.405.308,7768405308.0
(10.992.791.428),(10.992.791.428),(10.992.791.428),,
1.947.544.150,(10.992.791.428) > 1.947.544.150,1.947.544.150,16.636.711.846,16636711846.0
12.855.028.307.209,(10.992.791.428) > 12.855.028.307.209,12.855.028.307.209,7.818.406.057.159,7818406057159.0
