row_label_raw,row_label_full,col_0,31/12/2024 (VND),31/12/2024 (VND)_1,01/01/2024 (VND),01/01/2024 (VND)_1,numeric__31/12/2024 (VND),numeric__31/12/2024 (VND)_1,numeric__01/01/2024 (VND),numeric__01/01/2024 (VND)_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,4.914.110.154,-,19.063.664.894,-,4914110154.0,,19063664894.0,
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,349.751.236.964,(9.254.274.065),514.225.702.853,(25.205.683.289),349751236964.0,-9254274065.0,514225702853.0,-25205683289.0
Công cụ và dụng cụ,Công cụ và dụng cụ,Công cụ và dụng cụ,11.021.751.866,-,11.732.273.203,-,11021751866.0,,11732273203.0,
Chi phí Sản xuất kinh doanh dở dang,Chi phí Sản xuất kinh doanh dở dang,Chi phí Sản xuất kinh doanh dở dang,3.727.651.310,-,8.093.966.431,-,3727651310.0,,8093966431.0,
Thành phẩm,Thành phẩm,Thành phẩm,682.970.323.235,(13.313.323.953),328.393.025.945,(2.532.739.915),682970323235.0,-13313323953.0,328393025945.0,-2532739915.0
Hàng hóa,Hàng hóa,Hàng hóa,491.205.810.400,(360.938.392),429.256.143.138,(14.276.920.104),491205810400.0,-360938392.0,429256143138.0,-14276920104.0
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,31.218.802.824,-,5.020.593.093,-,31218802824.0,,5020593093.0,
Hàng hóa bất động sản (*),Hàng hóa bất động sản (*),Hàng hóa bất động sản (*),54.361.712.371,-,54.361.712.371,-,54361712371.0,,54361712371.0,
Tổng,Tổng,Tổng,1.629.171.399.124,(22.928.536.410),1.370.147.081.928,(42.015.343.308),1629171399124.0,-22928536410.0,1370147081928.0,-42015343308.0
