row_label_raw,row_label_full,col_0,31/12/2024 (VND) > Giá trị ghi sổ,31/12/2024 (VND) > Số có khả năng trả nợ,01/01/2024 (VND) > Giá trị ghi sổ,01/01/2024 (VND) > Số có khả năng trả nợ,numeric__31/12/2024 (VND) > Giá trị ghi sổ,numeric__31/12/2024 (VND) > Số có khả năng trả nợ,numeric__01/01/2024 (VND) > Giá trị ghi sổ,numeric__01/01/2024 (VND) > Số có khả năng trả nợ
Ngắn hạn,Ngắn hạn,Ngắn hạn,149.699.442.647,149.699.442.647,450.622.258.267,450.622.258.267,149699442647.0,149699442647.0,450622258267.0,450622258267.0
Val Win Trading,Val Win Trading,Val Win Trading,10.089.186.161,10.089.186.161,16.037.667.798,16.037.667.798,10089186161.0,10089186161.0,16037667798.0,16037667798.0
Công ty Cổ phần Sữa Việt Nam - Chi nhánh Cần Thơ,Công ty Cổ phần Sữa Việt Nam - Chi nhánh Cần Thơ,Công ty Cổ phần Sữa Việt Nam - Chi nhánh Cần Thơ,28.098.759.420,28.098.759.420,32.179.957.198,32.179.957.198,28098759420.0,28098759420.0,32179957198.0,32179957198.0
Siam Golden Rice Company Limited,Siam Golden Rice Company Limited,Siam Golden Rice Company Limited,-,-,95.042.640.000,95.042.640.000,,,95042640000.0,95042640000.0
Công ty TNHH Đầu tư Sản xuất Thương mại Dịch vụ Phan Minh,Công ty TNHH Đầu tư Sản xuất Thương mại Dịch vụ Phan Minh,Công ty TNHH Đầu tư Sản xuất Thương mại Dịch vụ Phan Minh,-,-,9.439.146,9.439.146,,,9439146.0,9439146.0
Công ty Cổ phần Chế biến Xuất nhập khẩu Ngọc Thiên Hương,Công ty Cổ phần Chế biến Xuất nhập khẩu Ngọc Thiên Hương,Công ty Cổ phần Chế biến Xuất nhập khẩu Ngọc Thiên Hương,714.694.400,714.694.400,148.488.493.500,148.488.493.500,714694400.0,714694400.0,148488493500.0,148488493500.0
Công ty Cổ phần Chế biến Xuất khẩu Gạo Ngọc Hân Lê,Công ty Cổ phần Chế biến Xuất khẩu Gạo Ngọc Hân Lê,Công ty Cổ phần Chế biến Xuất khẩu Gạo Ngọc Hân Lê,2.654.509.000,2.654.509.000,79.195.000.000,79.195.000.000,2654509000.0,2654509000.0,79195000000.0,79195000000.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,108.142.293.666,108.142.293.666,79.669.060.625,79.669.060.625,108142293666.0,108142293666.0,79669060625.0,79669060625.0
Tổng,Tổng,Tổng,149.699.442.647,149.699.442.647,450.622.258.267,450.622.258.267,149699442647.0,149699442647.0,450622258267.0,450622258267.0
5.19 Người mua ứng tiền trước,5.19 Người mua ứng tiền trước,5.19 Người mua ứng tiền trước,5.19 Người mua ứng tiền trước,5.19 Người mua ứng tiền trước,5.19 Người mua ứng tiền trước,5.19 Người mua ứng tiền trước,,,,
,,,31/12/2024 VND,01/01/2024 VND,,,,,,
FNJ Investment Limited,5.19 Người mua ứng tiền trước > FNJ Investment Limited,FNJ Investment Limited,15.502.641.741,15.452.353.164,,,15502641741.0,15452353164.0,,
Công ty Cổ phần Lương thực Hậu Giang,5.19 Người mua ứng tiền trước > Công ty Cổ phần Lương thực Hậu Giang,Công ty Cổ phần Lương thực Hậu Giang,9.500.000.000,9.500.000.000,,,9500000000.0,9500000000.0,,
Công ty TNHH XNK Thương mại Võ Thị Thu Hà,5.19 Người mua ứng tiền trước > Công ty TNHH XNK Thương mại Võ Thị Thu Hà,Công ty TNHH XNK Thương mại Võ Thị Thu Hà,3.803.625.000,3.803.625.000,,,3803625000.0,3803625000.0,,
Công ty TNHH Xuất Nhập Khẩu Vimex,5.19 Người mua ứng tiền trước > Công ty TNHH Xuất Nhập Khẩu Vimex,Công ty TNHH Xuất Nhập Khẩu Vimex,17.033.466.400,5.277.200.000,,,17033466400.0,5277200000.0,,
Syarikat Pelangi Tinggi,5.19 Người mua ứng tiền trước > Syarikat Pelangi Tinggi,Syarikat Pelangi Tinggi,-,10.594.208.743,,,,10594208743.0,,
Timor Food Unipessoal LDA,5.19 Người mua ứng tiền trước > Timor Food Unipessoal LDA,Timor Food Unipessoal LDA,-,89.182.470,,,,89182470.0,,
Các khách hàng khác,5.19 Người mua ứng tiền trước > Các khách hàng khác,Các khách hàng khác,76.822.132.099,44.981.237.980,,,76822132099.0,44981237980.0,,
Tổng,5.19 Người mua ứng tiền trước > Tổng,Tổng,122.661.865.240,89.697.807.357,,,122661865240.0,89697807357.0,,
Trong đó Người mua ứng tiền trước là các bên liên quan được trình bày tại Thuyết minh 7.1,5.19 Người mua ứng tiền trước > Trong đó Người mua ứng tiền trước là các bên liên quan được trình bày tại Thuyết minh 7.1,Trong đó Người mua ứng tiền trước là các bên liên quan được trình bày tại Thuyết minh 7.1,14.780.800.000,9.500.000.000,,,14780800000.0,9500000000.0,,
