row_label_raw,row_label_full,col_0,31/12/2024 (VND) > Giá trị,31/12/2024 (VND) > Số có khả năngtrà nợ,Trong năm (VND) > Tăng,Trong năm (VND) > Giảm,01/01/2024 (VND) > Giá trị,01/01/2024 (VND) > Số có khả năngtrà nợ,numeric__31/12/2024 (VND) > Giá trị,numeric__31/12/2024 (VND) > Số có khả năngtrà nợ,numeric__Trong năm (VND) > Tăng,numeric__Trong năm (VND) > Giảm,numeric__01/01/2024 (VND) > Giá trị,numeric__01/01/2024 (VND) > Số có khả năngtrà nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.798.855.404.679,1.798.855.404.679,16.382.507.951.917,15.976.473.005.760,1.392.820.458.522,1.392.820.458.522,1798855404679.0,1798855404679.0,16382507951917.0,15976473005760.0,1392820458522.0,1392820458522.0
Ngân hàng TMCP Ngoại thương Việt Nam (1),Ngân hàng TMCP Ngoại thương Việt Nam (1),Ngân hàng TMCP Ngoại thương Việt Nam (1),,,,,,,,,,,,
- VND,Ngân hàng TMCP Ngoại thương Việt Nam (1) > - VND,- VND,171.671.957.589,171.671.957.589,2.970.967.593.215,2.871.274.224.705,71.978.589.079,71.978.589.079,171671957589.0,171671957589.0,2970967593215.0,2871274224705.0,71978589079.0,71978589079.0
- USD,Ngân hàng TMCP Ngoại thương Việt Nam (1) > - USD,- USD,203.662.443.027,203.662.443.027,247.422.549.313,43.760.106.286,-,-,203662443027.0,203662443027.0,247422549313.0,43760106286.0,,
Ngân hàng TMCP Quân đối Việt Nam (2),Ngân hàng TMCP Quân đối Việt Nam (2),Ngân hàng TMCP Quân đối Việt Nam (2),,,,,,,,,,,,
- VND,Ngân hàng TMCP Quân đối Việt Nam (2) > - VND,- VND,183.705.472.993,183.705.472.993,1.267.982.372.334,1.094.840.574.048,10.563.674.707,10.563.674.707,183705472993.0,183705472993.0,1267982372334.0,1094840574048.0,10563674707.0,10563674707.0
- USD,Ngân hàng TMCP Quân đối Việt Nam (2) > - USD,- USD,35.435.702.019,35.435.702.019,51.783.185.705,62.742.996.138,46.395.512.452,46.395.512.452,35435702019.0,35435702019.0,51783185705.0,62742996138.0,46395512452.0,46395512452.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (3),Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (3),Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (3),,,,,,,,,,,,
- VND,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (3) > - VND,- VND,86.302.603.180,86.302.603.180,436.714.148.373,391.942.545.193,41.531.000.000,41.531.000.000,86302603180.0,86302603180.0,436714148373.0,391942545193.0,41531000000.0,41531000000.0
Ngân hàng TMCP Hàng hải Việt Nam (4),Ngân hàng TMCP Hàng hải Việt Nam (4),Ngân hàng TMCP Hàng hải Việt Nam (4),,,,,,,,,,,,
- VND,Ngân hàng TMCP Hàng hải Việt Nam (4) > - VND,- VND,162.408.408.000,162.408.408.000,4.631.627.070.256,4.601.630.830.409,132.412.168.153,132.412.168.153,162408408000.0,162408408000.0,4631627070256.0,4601630830409.0,132412168153.0,132412168153.0
- USD,Ngân hàng TMCP Hàng hải Việt Nam (4) > - USD,- USD,81.935.079.788,81.935.079.788,498.497.839.224,482.656.852.048,66.094.092.612,66.094.092.612,81935079788.0,81935079788.0,498497839224.0,482656852048.0,66094092612.0,66094092612.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (5),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (5),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (5),,,,,,,,,,,,
- VND,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (5) > - VND,- VND,456.614.108.434,456.614.108.434,4.122.045.267.709,4.225.540.184.233,560.109.024.958,560.109.024.958,456614108434.0,456614108434.0,4122045267709.0,4225540184233.0,560109024958.0,560109024958.0
- USD,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (5) > - USD,- USD,194.539.864.994,194.539.864.994,293.805.238.835,399.562.482.756,300.297.108.915,300.297.108.915,194539864994.0,194539864994.0,293805238835.0,399562482756.0,300297108915.0,300297108915.0
Ngân hàng TMCP Đại chúng Việt Nam,Ngân hàng TMCP Đại chúng Việt Nam,Ngân hàng TMCP Đại chúng Việt Nam,,,,,,,,,,,,
- VND,Ngân hàng TMCP Đại chúng Việt Nam > - VND,- VND,-,-,1.475.000.000,1.475.000.000,-,-,,,1475000000.0,1475000000.0,,
Ngân hàng TMCP Việt Nam Thịnh Vương (6),Ngân hàng TMCP Việt Nam Thịnh Vương (6),Ngân hàng TMCP Việt Nam Thịnh Vương (6),,,,,,,,,,,,
- VND,Ngân hàng TMCP Việt Nam Thịnh Vương (6) > - VND,- VND,-,-,50.586.241.000,50.586.241.000,-,-,,,50586241000.0,50586241000.0,,
Ngân hàng TMCP Công thương Việt Nam (7),Ngân hàng TMCP Công thương Việt Nam (7),Ngân hàng TMCP Công thương Việt Nam (7),,,,,,,,,,,,
- VND,Ngân hàng TMCP Công thương Việt Nam (7) > - VND,- VND,27.485.821.600,27.485.821.600,268.745.543.657,244.971.722.057,3.712.000.000,3.712.000.000,27485821600.0,27485821600.0,268745543657.0,244971722057.0,3712000000.0,3712000000.0
Ngân hàng TMCP Tiên Phong (8),Ngân hàng TMCP Tiên Phong (8),Ngân hàng TMCP Tiên Phong (8),,,,,,,,,,,,
- VND,Ngân hàng TMCP Tiên Phong (8) > - VND,- VND,-,-,301.957.018.372,310.014.104.172,8.057.085.800,8.057.085.800,,,301957018372.0,310014104172.0,8057085800.0,8057085800.0
- USD,Ngân hàng TMCP Tiên Phong (8) > - USD,- USD,-,-,42.293.262.000,42.293.262.000,-,-,,,42293262000.0,42293262000.0,,
