row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị,dụng cụ quản lý",TSCĐ hữuhình khác,Đơn vị tính: VNDTổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị,dụng cụ quản lý",numeric__TSCĐ hữuhình khác,numeric__Đơn vị tính: VNDTổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư tại 01/01/2024,NGUYÊN GIÁ > Số dư tại 01/01/2024,Số dư tại 01/01/2024,3.391.791.107.342,2.330.543.600.428,284.879.710.311,58.235.873.167,36.624.834.668,6.102.075.125.916,3391791107342.0,2330543600428.0,284879710311.0,58235873167.0,36624834668.0,6102075125916.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,8.368.332.703,18.319.036.892,2.947.233.428,1.214.697.891,421.980.258,31.271.281.172,8368332703.0,18319036892.0,2947233428.0,1214697891.0,421980258.0,31271281172.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,8.590.057.981,2.442.184.983,850.798.891,421.980.258,12.305.022.113,,8590057981.0,2442184983.0,850798891.0,421980258.0,12305022113.0
Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,8.368.332.703,9.728.978.911,505.048.445,363.899.000,-,18.966.259.059,8368332703.0,9728978911.0,505048445.0,363899000.0,,18966259059.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,18.256.090.020,13.869.538.683,2.605.337.755,36.000.000,122.498.182,34.889.464.640,18256090020.0,13869538683.0,2605337755.0,36000000.0,122498182.0,34889464640.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",18.256.090.020,13.869.538.683,2.605.337.755,36.000.000,122.498.182,34.889.464.640,18256090020.0,13869538683.0,2605337755.0,36000000.0,122498182.0,34889464640.0
Số dư tại 31/12/2024,NGUYÊN GIÁ > Số dư tại 31/12/2024,Số dư tại 31/12/2024,3.381.903.350.025,2.334.993.098.637,285.221.605.984,59.414.571.058,36.924.316.744,6.098.456.942.448,3381903350025.0,2334993098637.0,285221605984.0,59414571058.0,36924316744.0,6098456942448.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư tại 01/01/2024,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2024,Số dư tại 01/01/2024,2.144.098.874.091,1.816.398.437.825,252.614.102.088,52.482.894.681,32.602.050.740,4.298.196.359.425,2144098874091.0,1816398437825.0,252614102088.0,52482894681.0,32602050740.0,4298196359425.0
