row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy vi tính,TSCĐ vô hình khác,Tổng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy vi tính,numeric__TSCĐ vô hình khác,numeric__Tổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư tại 01/01/2024,NGUYÊN GIÁ > Số dư tại 01/01/2024,Số dư tại 01/01/2024,818.159.441.639,10.498.255.711,9.449.821.912,838.107.519.262,818159441639.0,10498255711.0,9449821912.0,838107519262.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,30.200.000,90.000.000,120.200.000,,30200000.0,90000000.0,120200000.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,30.200.000,90.000.000,120.200.000,,30200000.0,90000000.0,120200000.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,25.593.269.878,215.548.000,-,25.808.817.878,25593269878.0,215548000.0,,25808817878.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",25.593.269.878,215.548.000,-,25.808.817.878,25593269878.0,215548000.0,,25808817878.0
Số dư tại 31/12/2024,NGUYÊN GIÁ > Số dư tại 31/12/2024,Số dư tại 31/12/2024,792.566.171.761,10.312.907.711,9.539.821.912,812.418.901.384,792566171761.0,10312907711.0,9539821912.0,812418901384.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,
Số dư tại 01/01/2024,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2024,Số dư tại 01/01/2024,39.372.880.240,9.849.666.663,8.974.448.567,58.196.995.470,39372880240.0,9849666663.0,8974448567.0,58196995470.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,3.559.321.759,40.931.349,76.175.928,3.676.429.036,3559321759.0,40931349.0,76175928.0,3676429036.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,3.559.321.759,40.931.349,76.175.928,3.676.429.036,3559321759.0,40931349.0,76175928.0,3676429036.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,7.033.310.424,215.548.000,-,7.248.858.424,7033310424.0,215548000.0,,7248858424.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",7.033.310.424,215.548.000,-,7.248.858.424,7033310424.0,215548000.0,,7248858424.0
Số dư tại 31/12/2024,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 31/12/2024,Số dư tại 31/12/2024,35.898.891.575,9.675.050.012,9.050.624.495,54.624.566.082,35898891575.0,9675050012.0,9050624495.0,54624566082.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại 01/01/2024,GIÁ TRỊ CÒN LẠI > Tại 01/01/2024,Tại 01/01/2024,778.786.561.399,648.589.048,475.373.345,779.910.523.792,778786561399.0,648589048.0,475373345.0,779910523792.0
Tại 31/12/2024,GIÁ TRỊ CÒN LẠI > Tại 31/12/2024,Tại 31/12/2024,756.667.280.186,637.857.699,489.197.417,757.794.335.302,756667280186.0,637857699.0,489197417.0,757794335302.0
