row_label_raw,row_label_full,CHỈ TIÊU,MS TM,Năm 2024VND,Năm 2023VND,numeric__MS TM,numeric__Năm 2024VND,numeric__Năm 2023VND
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,(235.405.858.850),(973.932.435.697),50.0,-235405858850.0,-973932435697.0
Tiền và tương đương tiền đầu kỳ,Tiền và tương đương tiền đầu kỳ,Tiền và tương đương tiền đầu kỳ,60 5.1,503.381.614.735,1.477.532.901.491,,503381614735.0,1477532901491.0
Ảnh hưởng của thay đổi tỷ giá hối doái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối doái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối doái quy đổi ngoại tệ,61,76.155.133,(218.851.059),61.0,76155133.0,-218851059.0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70 5.1,268.051.911.018,503.381.614.735,,268051911018.0,503381614735.0
