row_label_raw,row_label_full,Ngân hàng TMCP Xuất nhập khẩu Việt Nam - CN Sài Gòn (9),31/12/2024 (VND) > Giá trị,31/12/2024 (VND) > Số có khả năng trả nợ,Trong năm (VND) > Tăng,Trong năm (VND) > Giảm,01/01/2024 (VND) > Giá trị,01/01/2024 (VND) > Số có khả năng trả nợ,numeric__31/12/2024 (VND) > Giá trị,numeric__31/12/2024 (VND) > Số có khả năng trả nợ,numeric__Trong năm (VND) > Tăng,numeric__Trong năm (VND) > Giảm,numeric__01/01/2024 (VND) > Giá trị,numeric__01/01/2024 (VND) > Số có khả năng trả nợ
- VND,- VND,- VND,42.823.476.000,42.823.476.000,670.961.771.205,639.127.295.205,10.989.000.000,10.989.000.000,42823476000.0,42823476000.0,670961771205.0,639127295205.0,10989000000.0,10989000000.0
Ngân hàng Nông nghiệp và Phát triển Nông thôn (10),Ngân hàng Nông nghiệp và Phát triển Nông thôn (10),Ngân hàng Nông nghiệp và Phát triển Nông thôn (10),,,,,,,,,,,,
- VND,Ngân hàng Nông nghiệp và Phát triển Nông thôn (10) > - VND,- VND,62.193.837.376,62.193.837.376,-,214.470,62.194.051.846,62.194.051.846,62193837376.0,62193837376.0,,214470.0,62194051846.0,62194051846.0
Ngân hàng TNHH MTV PUBLIC Việt Nam (11),Ngân hàng TNHH MTV PUBLIC Việt Nam (11),Ngân hàng TNHH MTV PUBLIC Việt Nam (11),,,,,,,,,,,,
- VND,Ngân hàng TNHH MTV PUBLIC Việt Nam (11) > - VND,- VND,40.440.800.000,40.440.800.000,172.264.900.000,192.992.950.000,61.168.850.000,61.168.850.000,40440800000.0,40440800000.0,172264900000.0,192992950000.0,61168850000.0,61168850000.0
Công ty CP Thương mại Địa Óc Việt (12),Ngân hàng TNHH MTV PUBLIC Việt Nam (11) > Công ty CP Thương mại Địa Óc Việt (12),Công ty CP Thương mại Địa Óc Việt (12),900.000.000,900.000.000,,,900.000.000,900.000.000,900000000.0,900000000.0,,,900000000.0,900000000.0
Ngân hàng TMCP Sài Gòn - Hà Nội (13),Ngân hàng TMCP Sài Gòn - Hà Nội (13),Ngân hàng TMCP Sài Gòn - Hà Nội (13),,,,,,,,,,,,
- VND,Ngân hàng TMCP Sài Gòn - Hà Nội (13) > - VND,- VND,-,-,120.000.000.000,120.000.000.000,-,-,,,120000000000.0,120000000000.0,,
- USD,Ngân hàng TMCP Sài Gòn - Hà Nội (13) > - USD,- USD,16.005.861.828,16.005.861.828,106.611.662.868,90.605.801.040,-,-,16005861828.0,16005861828.0,106611662868.0,90605801040.0,,
Ngân hàng TMCP Đông Nam Á (14),Ngân hàng TMCP Đông Nam Á (14),Ngân hàng TMCP Đông Nam Á (14),,,,,,,,,,,,
- USD,Ngân hàng TMCP Đông Nam Á (14) > - USD,- USD,16.240.471.110,16.240.471.110,16.240.471.110,-,-,-,16240471110.0,16240471110.0,16240471110.0,,,
Ngân hàng TMCP Quốc tế Việt Nam - CN Cần Thơ,Ngân hàng TMCP Quốc tế Việt Nam - CN Cần Thơ,Ngân hàng TMCP Quốc tế Việt Nam - CN Cần Thơ,,,,,,,,,,,,
- VND,Ngân hàng TMCP Quốc tế Việt Nam - CN Cần Thơ > - VND,- VND,-,-,105.307.320.000,105.307.320.000,-,-,,,105307320000.0,105307320000.0,,
Các đối tượng khác (15),Ngân hàng TMCP Quốc tế Việt Nam - CN Cần Thơ > Các đối tượng khác (15),Các đối tượng khác (15),11.570.000.000,11.570.000.000,300.000.000,200.000.000,11.470.000.000,11.470.000.000,11570000000.0,11570000000.0,300000000.0,200000000.0,11470000000.0,11470000000.0
Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,,,,,,,,,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (16),Nợ dài hạn đến hạn trả > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (16),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (16),3.149.596.741,3.149.596.741,3.149.596.741,3.178.400.000,3.178.400.000,3.178.400.000,3149596741.0,3149596741.0,3149596741.0,3178400000.0,3178400000.0,3178400000.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (17),Nợ dài hạn đến hạn trả > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (17),Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (17),909.900.000,909.900.000,909.900.000,909.900.000,909.900.000,909.900.000,909900000.0,909900000.0,909900000.0,909900000.0,909900000.0,909900000.0
