row_label_raw,row_label_full,col_0,CHỈ TIÊU,MS,TM,Năm 2024VND,Năm 2023VND,numeric__CHỈ TIÊU,numeric__MS,numeric__TM,numeric__Năm 2024VND,numeric__Năm 2023VND
I.,I.,I.,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,,59.108.586.710,92.348.025.923,,1.0,,59108586710.0,92348025923.0
2.,2.,2.,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,,
,,,- Khấu hao tài sản cố định và BDS đầu tư,02,,144.201.008.225,149.558.671.504,,2.0,,144201008225.0,149558671504.0
,,,- Các khoản dự phòng,03,,(60.212.740.193),57.624.412.627,,3.0,,-60212740193.0,57624412627.0
,,,"- Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện",04,,20.362.612.006,(57.919.417.450),,4.0,,20362612006.0,-57919417450.0
,,,"- Lãi, lỗ từ hoạt động đầu tư",05,,(38.477.856.774),(26.353.602.522),,5.0,,-38477856774.0,-26353602522.0
,,,- Chỉ phí lãi vay,06,,191.513.339.831,184.769.418.416,,6.0,,191513339831.0,184769418416.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,316.494.949.805,400.027.508.498,,8.0,,316494949805.0,400027508498.0
,,,"- Tăng, giảm các khoản phải thu",09,,(159.585.711.501),1.475.692.845.839,,9.0,,-159585711501.0,1475692845839.0
,,,"- Tăng, giảm hàng tồn kho",10,,(254.897.011.784),(198.056.842.999),,10.0,,-254897011784.0,-198056842999.0
,,,"- Tăng, giảm các khoản phải trả",11,,(274.846.794.616),(1.235.472.930.661),,11.0,,-274846794616.0,-1235472930661.0
,,,"- Tăng, giảm chỉ phí trả trước",12,,(684.615.642),(8.401.390.105),,12.0,,-684615642.0,-8401390105.0
,,,- Tiền lãi vay đã trả,14,,(185.157.781.960),(176.446.819.233),,14.0,,-185157781960.0,-176446819233.0
,,,- Thuế thu nhập doanh nghiệp đã nộp,15,,(28.007.154.732),(25.719.398.616),,15.0,,-28007154732.0,-25719398616.0
,,,- Tiền chỉ khác từ hoạt động kinh doanh,17,,(11.173.708.640),(2.977.841.678),,17.0,,-11173708640.0,-2977841678.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,(597.857.829.070),228.645.131.045,,20.0,,-597857829070.0,228645131045.0
II.,2. > II.,II.,Lưu chuyển tiền từ hoạt động đầu tư,,,9.362.350.886,(5.480.611.486),,,,9362350886.0,-5480611486.0
1.,2. > 1.,1.,"Tiền chỉ để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,(15.042.769.207),(52.935.604.939),,21.0,,-15042769207.0,-52935604939.0
2.,2. > 2.,2.,"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,27.356.779.711,14.315.461.311,,22.0,,27356779711.0,14315461311.0
3.,2. > 3.,3.,"Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác",23,,(114.500.000.000),(117.500.000.000),,23.0,,-114500000000.0,-117500000000.0
4.,2. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,106.000.000.000,134.500.000.000,,24.0,,106000000000.0,134500000000.0
7.,2. > 7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,5.548.340.382,16.139.532.142,,27.0,,5548340382.0,16139532142.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,9.362.350.886,(5.480.611.486),,30.0,,9362350886.0,-5480611486.0
III.,III.,III.,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,,,,,
3.,III. > 3.,3.,Tiền thu từ cho vay,33,,16.380.461.855.176,14.541.073.067.181,,33.0,,16380461855176.0,14541073067181.0
4.,III. > 4.,4.,Tiền chỉ trả nợ gốc vay,34,,(15.985.759.099.242),(15.706.387.558.697),,34.0,,-15985759099242.0,-15706387558697.0
6.,III. > 6.,6.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,(41.613.136.600),(31.782.463.740),,36.0,,-41613136600.0,-31782463740.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,353.089.619.334,(1.197.096.955.256),,40.0,,353089619334.0,-1197096955256.0
