row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Chênh lệch đánh giá lại tài sản (**),Quỹ đầu tư phát triển,Quỹ khác thuộc Vốn chủ sở hữu (*),Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Chênh lệch đánh giá lại tài sản (**),numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc Vốn chủ sở hữu (*),numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng
Số dư tại 01/01/2023,Số dư tại 01/01/2023,Số dư tại 01/01/2023,5.000.000.000.000,2.890.194.878,22.113.132.999,(214.860.939.288),31.735.363.556,231.825.797.290,(2.785.957.282.289),166.347.119.306,2.454.093.386.452,5000000000000.0,2890194878.0,22113132999.0,-214860939288.0,31735363556.0,231825797290.0,-2785957282289.0,166347119306.0,2454093386452.0
Lãi/Lỗ trong năm trước,Lãi/Lỗ trong năm trước,Lãi/Lỗ trong năm trước,-,-,-,-,-,-,23.130.176.416,39.211.855.133,62.342.031.549,,,,,,,23130176416.0,39211855133.0,62342031549.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,3.424.974.212,-,(3.424.974.212),-,-,,,,,3424974212.0,,-3424974212.0,,
Trích quỹ khen thưởng ban điều hành,Trích quỹ khen thưởng ban điều hành,Trích quỹ khen thưởng ban điều hành,-,-,-,-,-,-,(8.870.166.743),(7.960.116.184),(16.830.282.927),,,,,,,-8870166743.0,-7960116184.0,-16830282927.0
Trích quỹ từ thiên,Trích quỹ từ thiên,Trích quỹ từ thiên,-,-,-,-,-,-,(339.806.331),(260.193.669),(600.000.000),,,,,,,-339806331.0,-260193669.0,-600000000.0
Trích thù lao HDQT,Trích thù lao HDQT,Trích thù lao HDQT,-,-,-,-,-,-,(286.000.000),-,(286.000.000),,,,,,,-286000000.0,,-286000000.0
Chi trả cổ tức,Chi trả cổ tức,Chi trả cổ tức,-,-,-,-,-,-,-,(31.782.463.740),(31.782.463.740),,,,,,,,-31782463740.0,-31782463740.0
"Trích quỹ từ thiên, khen thưởng BĐH - Công ty liên kết","Trích quỹ từ thiên, khen thưởng BĐH - Công ty liên kết","Trích quỹ từ thiên, khen thưởng BĐH - Công ty liên kết",-,-,-,-,-,-,(1.250.047.000),-,(1.250.047.000),,,,,,,-1250047000.0,,-1250047000.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,-,(1.570.028.596),610.279,(1.569.418.317),,,,,,,-1570028596.0,610279.0,-1569418317.0
Số dư tại 31/12/2023,Số dư tại 31/12/2023,Số dư tại 31/12/2023,5.000.000.000.000,2.890.194.878,22.113.132.999,(214.860.939.288),35.160.337.768,231.825.797.290,(2.778.568.128.755),165.556.811.125,2.464.117.206.017,5000000000000.0,2890194878.0,22113132999.0,-214860939288.0,35160337768.0,231825797290.0,-2778568128755.0,165556811125.0,2464117206017.0
