row_label_raw,row_label_full,col_0,31/12/2024VND,01/01/2024VND,numeric__31/12/2024VND,numeric__01/01/2024VND
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,,
Dự án Kho trung tâm Khánh Hưng (1),Xây dựng cơ bản dở dang > Dự án Kho trung tâm Khánh Hưng (1),Dự án Kho trung tâm Khánh Hưng (1),5.457.758.801,5.457.758.801,5457758801.0,5457758801.0
Dự án đầu tư kho Năng Gù,Xây dựng cơ bản dở dang > Dự án đầu tư kho Năng Gù,Dự án đầu tư kho Năng Gù,1.922.679.720,1.922.679.720,1922679720.0,1922679720.0
"Công trình mở rộng sân phơi, nhà ở công nhân tại Xí nghiệp cá com","Xây dựng cơ bản dở dang > Công trình mở rộng sân phơi, nhà ở công nhân tại Xí nghiệp cá com","Công trình mở rộng sân phơi, nhà ở công nhân tại Xí nghiệp cá com",1.356.388.307,1.356.388.307,1356388307.0,1356388307.0
Nhà máy chế biến thủy sân,Xây dựng cơ bản dở dang > Nhà máy chế biến thủy sân,Nhà máy chế biến thủy sân,2.198.239.597,2.198.239.597,2198239597.0,2198239597.0
Các công trình khác,Xây dựng cơ bản dở dang > Các công trình khác,Các công trình khác,1.371.346.204,1.085.425.569,1371346204.0,1085425569.0
Mua sắm tài sân cố định,Mua sắm tài sân cố định,Mua sắm tài sân cố định,Mua sắm tài sân cố định,Mua sắm tài sân cố định,,
Sửa chữa lớn TSCĐ,Mua sắm tài sân cố định > Sửa chữa lớn TSCĐ,Sửa chữa lớn TSCĐ,2.611.415.548,1.555.466.472,2611415548.0,1555466472.0
Chi phí san lắp mặt bằng Nhà máy Phước Long,Mua sắm tài sân cố định > Chi phí san lắp mặt bằng Nhà máy Phước Long,Chi phí san lắp mặt bằng Nhà máy Phước Long,876.466.050,876.466.050,876466050.0,876466050.0
Mua sắm tài sân cố định khác,Mua sắm tài sân cố định > Mua sắm tài sân cố định khác,Mua sắm tài sân cố định khác,1.427.890.278,558.512.500,1427890278.0,558512500.0
Tổng,Mua sắm tài sân cố định > Tổng,Tổng,17.222.184.505,15.010.937.016,17222184505.0,15010937016.0
