row_label_raw,row_label_full,col_0,01/01/2024,Số phải nộp trong năm,Số đã nộp trong năm,Đơn vị tính: VND31/12/2024,numeric__01/01/2024,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Đơn vị tính: VND31/12/2024
a. Thuế và các khoản phải nộp Nhà nước,a. Thuế và các khoản phải nộp Nhà nước,a. Thuế và các khoản phải nộp Nhà nước,28.688.825.751,170.906.546.362,168.610.891.980,30.984.480.133,28688825751.0,170906546362.0,168610891980.0,30984480133.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,2.610.104.482,21.615.312.935,21.959.603.044,2.265.814.373,2610104482.0,21615312935.0,21959603044.0,2265814373.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,12.619.205.754,28.827.058.961,28.007.154.732,13.439.109.983,12619205754.0,28827058961.0,28007154732.0,13439109983.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.114.026.203,8.721.644.929,8.369.836.230,1.465.834.902,1114026203.0,8721644929.0,8369836230.0,1465834902.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,29.135.430,661.808.640,646.776.600,44.167.470,29135430.0,661808640.0,646776600.0,44167470.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",12.309.328.882,110.197.398.592,108.747.028.069,13.759.699.405,12309328882.0,110197398592.0,108747028069.0,13759699405.0
Thuế Bảo vệ môi trường và thuế khác,Thuế Bảo vệ môi trường và thuế khác,Thuế Bảo vệ môi trường và thuế khác,6.725.000,374.988.317,371.859.317,9.854.000,6725000.0,374988317.0,371859317.0,9854000.0
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",300.000,508.333.988,508.633.988,-,300000.0,508333988.0,508633988.0,
Tổng,Tổng,Tổng,28.688.825.751,170.906.546.362,168.610.891.980,30.984.480.133,28688825751.0,170906546362.0,168610891980.0,30984480133.0
,,,01/01/2024,Số phải nộp trong năm,Số đã nộp trong năm,31/12/2024,,,,
b. Thuế và các khoản phải thu Nhà nước,b. Thuế và các khoản phải thu Nhà nước,b. Thuế và các khoản phải thu Nhà nước,6.003.872.526,1.336.297.428,1.178.781.053,5.846.356.151,6003872526.0,1336297428.0,1178781053.0,5846356151.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,99.683.772,-,17.125.050,116.808.822,99683772.0,,17125050.0,116808822.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,4.495.936.732,,,4.495.936.732,4495936732.0,,,4495936732.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,769.859.823,178.517.540,123.203.626,714.545.909,769859823.0,178517540.0,123203626.0,714545909.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",638.330.047,1.155.671.728,1.034.361.137,517.019.456,638330047.0,1155671728.0,1034361137.0,517019456.0
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",62.152,2.108.160,4.091.240,2.045.232,62152.0,2108160.0,4091240.0,2045232.0
Tổng,Tổng,Tổng,6.003.872.526,1.336.297.428,1.178.781.053,5.846.356.151,6003872526.0,1336297428.0,1178781053.0,5846356151.0
