row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Giao dịch,Năm nay,Ngàn VNDNăm trước,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Công ty Cổ phầnLê Me,Công ty Cổ phầnLê Me,Công ty Cổ phầnLê Me,Công ty con,Tăng khoản đầu tưLãi cho vayCho vay,3.450.326.000132.836.456-,2.145.600.000235.972.770679.440.000,,,,2.1456000002359727e+27
Công ty Cổ phầnGia súc Lơ Pang,Công ty Cổ phầnGia súc Lơ Pang,Công ty Cổ phầnGia súc Lơ Pang,Công ty con,Tăng khoản đầu tưLãi cho vayCho vayMua hàng hóa và dịch vụBán hàng hóa và cung cấp dịch vụCho mượnMua dịch vụ,600.000.00057.250.4075.000.000111.18017.088-,-28.667.79020.300.000-8.000.000102.000,,,,
Công ty TNHHHưng Thắng LợiGia Lai,Công ty Cổ phầnGia súc Lơ Pang > Công ty TNHHHưng Thắng LợiGia Lai,Công ty TNHHHưng Thắng LợiGia Lai,Công ty con,Tăng khoản đầu tưLãi cho vayCho mượnBán hàng hóa và cung cấp dịch vụCho vayMua hàng hóa và dịch vụChi hộ,500.000.00039.601.62819.000.0008.922.7668.700.0004.935.179398.932,-39.638.499-89.759.595256.967.00072.008.38334.021.865,,,5.000000003960163e+51,
Công ty TNHH Dịch vụ Nông nghiệpTây Nguyên,Công ty Cổ phầnGia súc Lơ Pang > Công ty TNHH Dịch vụ Nông nghiệpTây Nguyên,Công ty TNHH Dịch vụ Nông nghiệpTây Nguyên,Công ty liên quan,Lãi cho vayLãi trái phiếu,39.263.48530.416.667,36.473.81130.416.667,,,3926348530416667.0,3647381130416667.0
Công ty Cổ phầnBệnh viện Đại họcY được - HoàngAnh Gia Lai,Công ty Cổ phầnGia súc Lơ Pang > Công ty Cổ phầnBệnh viện Đại họcY được - HoàngAnh Gia Lai,Công ty Cổ phầnBệnh viện Đại họcY được - HoàngAnh Gia Lai,Công ty con (đến ngày 27 tháng 12 năm 2023),Đi mượnCung cấp dịch vụMua dịch vụNhận cổ tức,24.700.000183.1411.140-,29.500.00068.94821.84038.963.731,,,,2.9500000689482185e+25
Công ty Cổ phầnChăn nuôi Gia Lai,Công ty Cổ phầnGia súc Lơ Pang > Công ty Cổ phầnChăn nuôi Gia Lai,Công ty Cổ phầnChăn nuôi Gia Lai,Công ty con,Lãi cho vayCho vayChi hộBán hàng hóa và cung cấp dịch vụMua hàng hóa,62.324.91728.000.000712.06357.473690,48.833.30220.000.000-32.9121.241.048,,,6.2324917280000004e+29,
