row_label_raw,row_label_full,Tên công ty,Lĩnh vực kinh doanh,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
Tên công ty,Tên công ty,Tên công ty,Lĩnh vực kinh doanh,Tỷ lệ sở hữu %,Giá gốc đầu tư Ngân VND,Dự phòng Ngân VND,Tỷ lệ sở hữu %,Giá gốc đầu tư Ngân VND,Dự phòng Ngân VND,,,,,,,
Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Tên công ty > Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Tư vấn và thiết kế,"25,00",5.000.000,(5.000.000),"25,00",5.000.000,(5.000.000),,25.0,5000000.0,-5000000.0,25.0,5000000.0,-5000000.0
TỔNG CỘNG,Tên công ty > TỔNG CỘNG,TỔNG CỘNG,,,5.000.000,(5.000.000),,5.000.000,(5.000.000),,,5000000.0,-5000000.0,,5000000.0,-5000000.0
13.3 Đầu tư vào các công ty khác,13.3 Đầu tư vào các công ty khác,13.3 Đầu tư vào các công ty khác,13.3 Đầu tư vào các công ty khác,13.3 Đầu tư vào các công ty khác,13.3 Đầu tư vào các công ty khác,13.3 Đầu tư vào các công ty khác,13.3 Đầu tư vào các công ty khác,13.3 Đầu tư vào các công ty khác,13.3 Đầu tư vào các công ty khác,,,,,,,
Tên công ty,Tên công ty,Tên công ty,Lĩnh vực kinh doanh,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,,
Tên công ty,Tên công ty,Tên công ty,Lĩnh vực kinh doanh,Tỷ lệ sở hữu và biểu quyết %,Giá gốc đầu tư Ngân VND,Dự phòng Ngân VND,Tỷ lệ sở hữu và biểu quyết %,Giá gốc đầu tư Ngân VND,Dự phòng Ngân VND,,,,,,,
"Công ty cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai (""HNG"") (*)","Tên công ty > Công ty cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai (""HNG"") (*)","Công ty cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai (""HNG"") (*)",Trồng cây công nghiệp và nông nghiệp,"9,44",1.041.431.040,(549.411.540),"9,44",1.041.431.040,(605.941.444),,9.44,1041431040.0,-549411540.0,9.44,1041431040.0,-605941444.0
Công ty Cổ phần Truyền thông Thanh Niên,Tên công ty > Công ty Cổ phần Truyền thông Thanh Niên,Công ty Cổ phần Truyền thông Thanh Niên,Truyền thông,"2,00",6.200.000,(6.200.000),"2,00",6.200.000,-,,2.0,6200000.0,-6200000.0,2.0,6200000.0,
Công ty Cổ phần Dịch vụ Thương mại Hàng không Viễn Đông,Tên công ty > Công ty Cổ phần Dịch vụ Thương mại Hàng không Viễn Đông,Công ty Cổ phần Dịch vụ Thương mại Hàng không Viễn Đông,Thương mại và vận tải,-,1.160.041,(1.160.041),-,1.160.041,(1.160.041),,,1160041.0,-1160041.0,,1160041.0,-1160041.0
TỔNG CỘNG,Tên công ty > TỔNG CỘNG,TỔNG CỘNG,,,1.048.791.081,(556.771.581),,1.048.791.081,(607.101.485),,,1048791081.0,-556771581.0,,1048791081.0,-607101485.0
