row_label_raw,row_label_full,Tên,Chức vụ,Ngàn VND,Ngàn VND_1,numeric__Chức vụ,numeric__Ngàn VND,numeric__Ngàn VND_1
Tên,Tên,Tên,Chức vụ,Thu nhập (*),Thu nhập (*),,,
Tên,Tên,Tên,Chức vụ,Năm nay,Năm trước,,,
Ông Đoàn Nguyên ĐứcÔng Võ Trường Sơn,Tên > Ông Đoàn Nguyên ĐứcÔng Võ Trường Sơn,Ông Đoàn Nguyên ĐứcÔng Võ Trường Sơn,Chữ tịch HĐQT,2.418.600,2.574.084,,2418600.0,2574084.0
Ông Đoàn Nguyên ĐứcÔng Võ Trường Sơn,Ông Đoàn Nguyên ĐứcÔng Võ Trường Sơn,Ông Đoàn Nguyên ĐứcÔng Võ Trường Sơn,Thành viên HĐQT kiểm,,,,,
Ông Đoàn Nguyên ĐứcÔng Võ Trường Sơn,Ông Đoàn Nguyên ĐứcÔng Võ Trường Sơn > Ông Đoàn Nguyên ĐứcÔng Võ Trường Sơn,Ông Đoàn Nguyên ĐứcÔng Võ Trường Sơn,Tổng Giám đốc,1.919.006,2.129.349,,1919006.0,2129349.0
Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Thành viên HĐQT kiểm Phó,,,,,
Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh > Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Tổng Giám đốc,1.376.438,1.547.330,,1376438.0,1547330.0
Bà Hồ Thị Kim Chi,Bà Võ Thị Mỹ Hạnh > Bà Hồ Thị Kim Chi,Bà Hồ Thị Kim Chi,Phó Tổng Giám đốc,1.086.593,1.271.810,,1086593.0,1271810.0
Bà Đỗ Trần Thủy Trang,Bà Võ Thị Mỹ Hạnh > Bà Đỗ Trần Thủy Trang,Bà Đỗ Trần Thủy Trang,Trường Ban Kiểm soát,656.613,766.299,,656613.0,766299.0
Ông Trần Văn Dai,Bà Võ Thị Mỹ Hạnh > Ông Trần Văn Dai,Ông Trần Văn Dai,Thành viên HĐQT,162.000,108.000,,162000.0,108000.0
Ông Lê Hồng Phong,Bà Võ Thị Mỹ Hạnh > Ông Lê Hồng Phong,Ông Lê Hồng Phong,Thành viên Ban Kiểm soát,108.000,163.800,,108000.0,163800.0
Ông Phạm Ngọc Châu,Bà Võ Thị Mỹ Hạnh > Ông Phạm Ngọc Châu,Ông Phạm Ngọc Châu,Thành viên Ban Kiểm soát,108.000,277.780,,108000.0,277780.0
Bà Võ Thị Huyền Lan,Bà Võ Thị Mỹ Hạnh > Bà Võ Thị Huyền Lan,Bà Võ Thị Huyền Lan,Thành viên HĐQT,67.500,256.500,,67500.0,256500.0
Các cá nhân khác,Bà Võ Thị Mỹ Hạnh > Các cá nhân khác,Các cá nhân khác,,767.776,1.535.698,,767776.0,1535698.0
TỔNG CỘNG,Bà Võ Thị Mỹ Hạnh > TỔNG CỘNG,TỔNG CỘNG,,8.670.526,10.630.650,,8670526.0,10630650.0
